,Return,Std Dev,Symbol(Name)
530102,264.85,123.88,530102 (삼성 인버스 2X 천연가스 선물 ETN C)
500016,8.12,14.51,500016 (신한 금 선물 ETN(H))
500003,-4.77,43.6,500003 (신한 인버스 WTI원유 선물 ETN(H))
520050,0.95,65.35,520050 (미래에셋 인버스 2X 원유선물혼합 ETN(H))
530119,6.25,57.32,530119 (삼성 레버리지 항셍테크 ETN(H) B)
760007,5.49,21.76,760007 (키움 코스피 200 TR ETN)
500038,-9.51,33.67,500038 (신한 인버스 2X 금 선물 ETN)
570022,28.17,38.53,570022 (한투 레버리지 S&P500 선물 ETN(H))
570100,26.57,27.25,570100 (한투 일본종합상사TOP5 ETN)
610043,-55.71,59.55,610043 (메리츠 천연가스 선물 ETN(H))
570078,11.33,68.82,570078 (한투 블룸버그 레버리지 WTI원유 선물 ETN)
500057,0.52,52.73,500057 (신한 인버스 2X Russell 2000 ETN)
520068,6.41,46.23,520068 (미래에셋 2X 홍콩H 선물 ETN)
530092,5.01,18.57,530092 (삼성 인버스 코스피 200 선물 ETN)
570098,-14.32,19.94,570098 (한투 S&P 레버리지 엔달러 선물 ETN(H))
610061,31.62,40.34,610061 (메리츠 3X 레버리지 국채30년 ETN)
530023,12.03,38.39,530023 (삼성 레버리지 China A50 선물 ETN(H))
500007,-5.9,28.27,500007 (신한 인버스 은 선물 ETN(H))
520073,141.03,89.28,520073 (미래에셋 레버리지 미국 AI TOP3 ETN)
570081,53.24,61.3,570081 (한투 레버리지 코스닥150선물 ETN)
580019,61.25,83.05,580019 (KB 인버스 2X 항셍테크 선물 ETN)
570092,-16.41,26.35,570092 (한투 인버스 2X 유로스탁스50 ETN(H) B)
500010,-9.14,17.31,500010 (신한 인버스 다우존스지수 선물 ETN(H))
520038,5.03,18.65,520038 (미래에셋 인버스 코스피200 선물 ETN)
580051,-35.53,62.12,580051 (KB 레버리지 밀 선물 ETN)
520009,20.39,77.95,520009 (미래에셋 레버리지 원유선물혼합 ETN(H))
530063,18.44,44.15,530063 (삼성 레버리지 구리 선물 ETN(H))
610016,15.37,59.22,610016 (메리츠 레버리지 은 선물 ETN(H))
530122,112.17,57.17,530122 (삼성 인버스 2X 항셍테크 ETN(H) B)
700025,-56.43,104.02,700025 (하나 블룸버그 2X 천연가스 선물 ETN(H) B)
520056,51.62,60.75,520056 (미래에셋 레버리지 코스닥150 선물 ETN)
520069,5.96,50.34,520069 (미래에셋 -2X 홍콩H 선물 ETN(H))
520054,29.75,36.56,520054 (미래에셋 레버리지 코스피200 선물 ETN)
610063,3.78,0.25,610063 (메리츠 KIS CD금리투자 ETN)
530067,15.22,14.18,530067 (삼성 KRX 금현물 ETN)
610023,-14.01,18.08,610023 (메리츠 레버리지 미국채10년 ETN(H))
530084,-3.85,14.44,530084 (삼성 인버스 금 선물 ETN(H))
510038,-10.11,60.19,510038 (대신 인버스 2X 철광석 선물 ETN(H))
570057,8.47,25.55,570057 (한투 은 선물 ETN)
500069,29.23,36.2,500069 (신한 레버리지 코스피 200 선물 ETN)
500006,-5.11,14.56,500006 (신한 인버스 금 선물 ETN(H))
570061,18.95,55.44,570061 (한투 레버리지 은 선물 ETN)
570065,-1.86,41.47,570065 (한투 레버리지 베트남 VN30 선물 ETN(H))
500077,41.75,35.94,500077 (신한 인버스0.5X S&P500 VIX S/T선물 ETN)
500037,22.86,28.34,500037 (신한 레버리지 금 선물 ETN)
610075,68.51,21.94,610075 (메리츠 3X 레버리지 미국채10년 ETN)
500070,-19.06,36.4,500070 (신한 인버스 2X 코스피 200 선물 ETN)
510025,-50.61,62.16,510025 (대신 S&P500 VIX S/T 선물 ETN)
700011,-15.03,49.93,700011 (하나 레버리지 옥수수 선물 ETN(H))
500040,19.95,41.16,500040 (신한 레버리지 구리 선물 ETN)
610068,3.32,10.56,610068 (메리츠 KAP 일본 엔화 ETN)
610042,3.7,68.72,610042 (메리츠 블룸버그 인버스 2X WTI선물 ETN(H))
510019,23.68,63.94,510019 (대신 인버스 천연가스 선물 ETN(H))
580022,17.91,28.63,580022 (KB 레버리지 금 선물 ETN(H))
700018,-34.68,61.46,700018 (하나 인버스 2X 코스닥150 선물 ETN)
570066,1.22,42.27,570066 (한투 인버스 2X 베트남 VN30 선물 ETN(H))
520066,34.04,15.27,520066 (미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN)
520072,46.61,43.04,520072 (미래에셋 미국 AI TOP3 ETN)
580021,16.57,62.85,580021 (KB 인버스 천연가스 선물 ETN)
610079,-58.68,48.16,610079 (메리츠 인버스 3X 미국채30년 ETN)
570097,-7.32,10.54,570097 (한투 S&P 엔달러 선물 ETN(H))
570091,-7.1,13.15,570091 (한투 인버스 유로스탁스50 ETN(H) C)
580026,15.0,58.48,580026 (KB 레버리지 은 선물 ETN(H))
500036,-10.19,17.06,500036 (신한 인버스 2X 미국달러 선물 ETN)
580052,81.22,65.45,580052 (KB 인버스 2X 밀 선물 ETN)
610017,-6.54,58.49,610017 (메리츠 인버스 2X 은 선물 ETN(H))
500017,8.82,28.48,500017 (신한 은 선물 ETN(H))
570060,-2.98,34.42,570060 (한투 인버스 2X 금 선물 ETN)
610035,-10.83,45.77,610035 (메리츠 레버리지 대표 농산물 선물 ETN(H))
520047,33.54,51.58,520047 (미래에셋 인버스 2X 옥수수 선물 ETN)
580053,-35.68,34.45,580053 (KB 레버리지 콩 선물 ETN)
510026,54.5,62.15,510026 (대신 레버리지 코스닥 150 선물 ETN)
580016,18.39,34.45,580016 (KB 레버리지 S&P 500 선물 ETN(H))
530055,18.82,30.05,530055 (삼성 레버리지 금 선물 ETN(H))
610010,12.06,30.43,610010 (메리츠 인버스 2X 국채30년 ETN)
570069,6.24,53.59,570069 (한투 레버리지 플래티넘 선물 ETN)
610041,4.74,69.28,610041 (메리츠 블룸버그 레버리지 WTI선물 ETN(H))
580027,-6.68,58.28,580027 (KB 인버스 2X 은 선물 ETN(H))
570062,1.55,63.31,570062 (한투 인버스 2X 은 선물 ETN)
520070,3.7,11.1,520070 (미래에셋 0.5X 코스피200 선물 ETN)
500008,-4.07,22.1,500008 (신한 인버스 구리 선물 ETN(H))
610022,-5.82,9.13,610022 (메리츠 미국채10년 ETN(H))
610070,2.56,21.34,610070 (메리츠 KAP 인버스 2X 일본 엔화 ETN)
610054,319.66,120.08,610054 (메리츠 블룸버그 -2X 천연가스 선물 ETN(H))
570063,0.62,22.42,570063 (한투 베트남 VN30 선물 ETN(H))
610059,12.97,20.42,610059 (메리츠 3X 레버리지 국채10년 ETN)
580039,29.69,37.31,580039 (KB 레버리지 KOSPI 200 선물 ETN)
610028,-1.79,45.04,610028 (메리츠 레버리지 구리 선물 ETN(H))
610025,18.2,18.24,610025 (메리츠 인버스 2X 미국채10년 ETN(H))
610008,-8.94,30.23,610008 (메리츠 레버리지 국채30년 ETN)
610040,22.63,35.09,610040 (메리츠 인버스 2X 미국채30년 ETN(H))
610009,7.12,14.88,610009 (메리츠 인버스 국채30년 ETN)
520074,45.72,17.78,520074 (미래에셋 미국 방위산업 TOP3 ETN)
500013,-0.58,23.52,500013 (신한 옥수수 선물 ETN(H))
500084,8.03,8.94,500084 (신한 미국달러 SOFR금리 플러스 ETN)
500035,8.26,17.23,500035 (신한 레버리지 미국달러 선물 ETN)
550071,10.12,66.45,550071 (N2 블룸버그 2X WTI원유선물 ETN)
570054,21.17,36.72,570054 (한투 레버리지 유로스탁스50 ETN(H) B)
520067,1.24,24.94,520067 (미래에셋 홍콩H 선물 ETN(H))
570105,-87.85,18.3,570105 (한투 인버스일본니케이225선물 ETN(H))
570052,0.29,26.38,570052 (한투 플래티넘 선물 ETN)
580046,293.66,117.49,580046 (KB 블룸버그 인버스2X 천연가스선물 ETN(H))
610029,6.63,45.05,610029 (메리츠 인버스 2X 구리 선물 ETN(H))
500041,-8.77,49.11,500041 (신한 인버스 2X 구리 선물 ETN)
500020,26.41,34.78,500020 (신한 레버리지 다우존스지수 선물 ETN(H))
520075,113.02,32.54,520075 (미래에셋 레버리지 미국 방위산업 TOP3 ETN)
550081,-41.74,63.63,550081 (N2 S&P500 VIX S/T 선물 ETN D)
580028,-2.48,19.06,580028 (KB KOSPI 200 선물 ETN)
