ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
JNJ,존슨앤드존슨,20,5,60,14,44.0,54.0,1.0,10.0,5.095523391353047
ADM,아처 대니얼스 미들랜드,19,5,120,14,44.0,54.0,1.0,10.0,0.4432588864771032
MSCI.K,MSCI,8,5,120,14,49.0,54.0,1.0,10.0,0.4036065193852738
APD,에어 프로덕츠 앤 케미컬스,13,5,120,14,49.0,54.0,1.0,10.0,0.3284235436649663
SJM,J.M.스머커,20,5,60,14,44.0,54.0,1.0,10.0,0.09795630569889524
WEC,WEC 에너지 그룹,20,5,60,14,44.0,54.0,1.0,10.0,0.0845148109597138
SBAC.O,SBA 커뮤니케이션스,14,5,120,14,44.0,54.0,1.0,10.0,0.06620804082996035
O,리얼티 인컴,19,5,120,14,44.0,54.0,1.0,10.0,0.016886934572799328
RVTY.K,레비티,14,5,120,14,44.0,54.0,1.0,10.0,0.005236923151411332
AEE,애머런,20,5,60,14,44.0,54.0,1.0,10.0,0.0007144975319994806
PFE,화이자,20,5,60,14,44.0,54.0,1.0,10.0,-0.027847099359305516
TECH.O,바이오-테크네,17,5,120,14,39.0,54.0,1.0,10.0,-0.03642556127747665
AMT,아메리칸 타워,13,5,120,14,49.0,54.0,1.0,10.0,-0.04989581167133328
AWK,아메리칸 워터 웍스,13,5,120,14,49.0,54.0,1.0,10.0,-0.052865633322099925
MKTX.O,마켓액세스 홀딩스,6,5,60,14,44.0,54.0,1.0,10.0,-0.05960991299798568
TFX,텔레플렉스,14,5,120,14,44.0,54.0,1.0,10.0,-0.06275866926883344
XEL.O,엑셀 에너지,20,5,60,14,44.0,54.0,1.0,10.0,-0.11791359966211712
ES,에버소스 에너지,20,5,60,14,44.0,54.0,1.0,10.0,-0.1367769249696782
CCI,크라운 캐슬,19,5,120,14,44.0,54.0,1.0,10.0,-0.19742833978365215
MTCH.O,매치 그룹,10,5,60,14,39.0,54.0,1.0,10.0,-0.2079288748093765
BIO,바이오래드 래보라토리스 Class A,14,5,120,14,44.0,54.0,1.0,10.0,-0.24753169982570855
PAYC.K,페이콤 소프트웨어,3,5,60,14,39.0,54.0,1.0,10.0,-0.3660331719960229
