Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
21,472490,HANARO 미국애그테크,5,120,14,49,54,1.0,10.0,24.72,0.0,16.16,19.91
21,332930,HANARO 200TR,5,120,14,49,54,1.0,10.0,24.72,21.97,14.13,20.15
21,387270,TIGER 글로벌BBIG액티브,5,120,14,49,54,1.0,10.0,24.72,5.49,18.59,18.78
21,276990,KODEX 글로벌로봇(합성),5,120,14,49,54,1.0,10.0,24.72,29.53,10.99,17.84
21,238720,ACE 일본Nikkei225(H),5,120,14,49,54,1.0,10.0,24.72,80.04,15.3,19.38
21,354350,HANARO 글로벌럭셔리S&P(합성),5,120,14,49,54,1.0,10.0,24.72,47.5,18.93,19.03
21,337160,KODEX 200ESG,5,120,14,49,54,1.0,10.0,24.72,20.45,13.56,20.49
21,434960,대신343 K200,5,120,14,49,54,1.0,10.0,24.72,35.41,15.34,16.71
21,332500,ACE 200TR,5,120,14,49,54,1.0,10.0,24.72,21.53,14.08,19.66
21,266160,KBSTAR 고배당,5,120,14,49,54,1.0,10.0,24.72,13.73,10.9,17.35
21,269540,ARIRANG 미국S&P500(H),5,120,14,49,54,1.0,10.0,24.72,18.42,14.6,18.25
21,325010,KODEX Fn성장,5,120,14,49,54,1.0,10.0,24.72,33.95,13.22,21.24
21,245340,TIGER 미국다우존스30,5,120,14,49,54,1.0,10.0,24.72,0.0,16.19,15.4
21,363580,KODEX 200IT TR,5,120,14,49,54,1.0,10.0,24.72,49.05,14.51,22.09
21,325020,KODEX 배당가치,5,120,14,49,54,1.0,10.0,24.72,30.58,14.03,19.38
21,310960,TIGER 200TR,5,120,14,49,54,1.0,10.0,24.72,21.18,11.46,19.16
21,219480,KODEX 미국S&P500선물(H),5,120,14,49,54,1.0,10.0,24.72,14.27,13.57,21.49
21,447770,TIGER 테슬라채권혼합Fn,5,120,14,49,54,1.0,10.0,24.72,0.0,14.17,18.69
21,143850,TIGER 미국S&P500선물(H),5,120,14,49,54,1.0,10.0,24.72,13.96,14.26,16.84
21,332940,HANARO MSCI Korea TR,5,120,14,49,54,1.0,10.0,24.72,15.93,13.88,20.67
21,200250,KOSEF 인도Nifty50(합성),5,120,14,49,54,1.0,10.0,24.72,21.54,11.65,17.01
21,245710,ACE 베트남VN30(합성),5,120,14,49,54,1.0,10.0,24.72,28.84,11.42,19.57
21,361580,KBSTAR 200TR,5,120,14,49,54,1.0,10.0,24.72,21.56,10.93,17.09
21,241180,TIGER 일본니케이225,5,120,14,49,54,1.0,10.0,24.72,6.9,12.61,16.49
21,251350,KODEX 선진국MSCI World,5,120,14,49,54,1.0,10.0,24.72,0.0,16.15,14.98
21,139260,TIGER 200 IT,5,120,14,49,54,1.0,10.0,24.72,14.32,11.69,21.94
21,315930,KODEX Top5PlusTR,5,120,14,49,54,1.0,10.0,24.72,26.72,17.47,21.65
21,333980,ARIRANG KS퀄리티가중TR,5,120,14,49,54,1.0,10.0,24.72,19.25,11.58,19.03
21,237350,KODEX 코스피100,5,120,14,49,54,1.0,10.0,24.72,14.17,11.43,21.44
21,310970,TIGER MSCI Korea TR,5,120,14,49,54,1.0,10.0,24.72,16.19,11.57,19.33
21,438900,HANARO Fn K-푸드,5,120,14,49,54,1.0,10.0,24.72,54.31,10.55,18.75
21,337120,KODEX Fn멀티팩터,5,120,14,49,54,1.0,10.0,24.72,10.96,11.39,18.6
21,464600,SOL 자동차소부장Fn,5,120,14,49,54,1.0,10.0,24.72,0.0,12.41,20.8
21,373490,KODEX K-이노베이션액티브,5,120,14,49,54,1.0,10.0,24.72,29.07,12.68,21.52
21,432850,HANARO 글로벌백신치료제MSCI,5,120,14,49,54,1.0,10.0,24.72,12.85,12.72,18.46
21,433250,UNICORN R&D 액티브,5,120,14,49,54,1.0,10.0,24.72,0.0,15.04,16.47
21,322410,HANARO 고배당,5,120,14,49,54,1.0,10.0,24.72,21.83,11.57,17.95
21,367740,HANARO Fn5G산업,5,120,14,49,54,1.0,10.0,24.72,22.54,15.41,18.57
21,411860,KOSEF 독일DAX,5,120,14,49,54,1.0,10.0,24.72,272.25,12.16,18.98
21,429980,SOL 한국형글로벌전기차&2차전지액티브,5,120,14,49,54,1.0,10.0,24.72,97.63,11.63,18.39
21,440910,WOORI 미국우주항공방산,5,120,14,49,54,1.0,10.0,24.72,0.0,18.74,18.82
21,373790,KOSEF 미국방어배당성장나스닥,5,120,14,49,54,1.0,10.0,24.72,20.86,13.3,14.98
21,331910,KOSEF Fn중소형,5,120,14,49,54,1.0,10.0,24.72,5.55,11.22,21.31
21,424460,HANARO 글로벌워터MSCI(합성),5,120,14,49,54,1.0,10.0,24.72,0.0,15.36,15.5
21,426330,KOSEF 미국ETF산업STOXX,5,120,14,49,54,1.0,10.0,24.72,63.17,13.55,18.65
21,485810,TIMEFOLIO 글로벌안티에이징바이오액티브,5,120,14,49,54,1.0,10.0,24.72,0.0,15.13,19.17
21,429010,TIGER 미국나스닥넥스트100,5,120,14,49,54,1.0,10.0,24.72,0.0,14.1,19.6
21,457930,BNK 미래전략기술액티브,5,120,14,49,54,1.0,10.0,24.72,0.0,14.8,18.5
21,337140,KODEX 코스피대형주,5,120,14,49,54,1.0,10.0,24.72,16.13,11.4,19.68
21,195920,TIGER 일본TOPIX(합성 H),5,120,14,49,54,1.0,10.0,24.72,18.82,11.22,18.29
21,453630,KODEX 미국S&P500필수소비재,5,120,14,49,54,1.0,10.0,24.72,0.0,13.27,14.45
21,200030,KODEX 미국S&P500산업재(합성),5,120,14,49,54,1.0,10.0,24.72,23.01,13.41,17.71
21,333960,ARIRANG KS모멘텀가중TR,5,120,14,49,54,1.0,10.0,24.72,35.59,13.02,20.66
21,379790,KBSTAR 유로스탁스50(H),5,120,14,49,54,1.0,10.0,24.72,23.82,12.01,18.38
21,333970,ARIRANG KS밸류가중TR,5,120,14,49,54,1.0,10.0,24.72,17.33,13.94,20.27
21,333950,ARIRANG KS로우사이즈가중TR,5,120,14,49,54,1.0,10.0,24.72,16.84,13.95,20.35
21,364690,KODEX 혁신기술테마액티브,5,120,14,49,54,1.0,10.0,24.72,4.0,14.58,17.35
21,337160,KODEX 200ESG,5,60,14,49,54,1.0,10.0,23.62,14.07,13.56,20.49
21,269540,ARIRANG 미국S&P500(H),5,60,14,49,54,1.0,10.0,23.62,11.93,14.6,18.25
21,266160,KBSTAR 고배당,5,60,14,49,54,1.0,10.0,23.62,4.91,10.9,17.35
21,332500,ACE 200TR,5,60,14,49,54,1.0,10.0,23.62,15.59,14.08,19.66
21,434960,대신343 K200,5,60,14,49,54,1.0,10.0,23.62,47.41,15.34,16.71
21,238720,ACE 일본Nikkei225(H),5,60,14,49,54,1.0,10.0,23.62,51.91,15.3,19.38
21,354350,HANARO 글로벌럭셔리S&P(합성),5,60,14,49,54,1.0,10.0,23.62,27.28,18.93,19.03
21,276990,KODEX 글로벌로봇(합성),5,60,14,49,54,1.0,10.0,23.62,52.1,10.99,17.84
21,387270,TIGER 글로벌BBIG액티브,5,60,14,49,54,1.0,10.0,23.62,10.38,18.59,18.78
21,325010,KODEX Fn성장,5,60,14,49,54,1.0,10.0,23.62,26.68,13.22,21.24
21,310960,TIGER 200TR,5,60,14,49,54,1.0,10.0,23.62,23.43,11.46,19.16
21,237350,KODEX 코스피100,5,60,14,49,54,1.0,10.0,23.62,18.88,11.43,21.44
21,447770,TIGER 테슬라채권혼합Fn,5,60,14,49,54,1.0,10.0,23.62,0.0,14.17,18.69
21,245340,TIGER 미국다우존스30,5,60,14,49,54,1.0,10.0,23.62,0.0,16.19,15.4
21,363580,KODEX 200IT TR,5,60,14,49,54,1.0,10.0,23.62,35.19,14.51,22.09
21,332930,HANARO 200TR,5,60,14,49,54,1.0,10.0,23.62,16.09,14.13,20.15
21,325020,KODEX 배당가치,5,60,14,49,54,1.0,10.0,23.62,6.83,14.03,19.38
