Cluster,Symbol,Name,Return,Std Dev
9,550071,N2 블룸버그 2X WTI원유선물 ETN,17.57,66.6
9,570078,한투 블룸버그 레버리지 WTI원유 선물 ETN,19.44,68.94
9,510017,대신 2X 철광석 선물 ETN(H),16.73,79.24
9,610016,메리츠 레버리지 은 선물 ETN(H),26.36,59.04
9,500065,신한 블룸버그 레버리지 WTI원유 선물 ETN,18.85,68.31
9,700015,하나 S&P 레버리지 WTI원유 선물 ETN,19.03,68.28
9,550064,N2 레버리지 은 선물 ETN(H),25.54,56.49
9,520047,미래에셋 인버스 2X 옥수수 선물 ETN,29.77,52.03
10,500057,신한 인버스 2X Russell 2000 ETN,-0.92,52.03
10,500056,신한 레버리지 Russell 2000 ETN,18.85,43.53
10,530063,삼성 레버리지 구리 선물 ETN(H),23.48,44.13
10,500015,신한 WTI원유 선물 ETN(H),7.9,42.52
10,570077,한투 블룸버그 WTI원유 선물 ETN,11.96,34.19
10,610028,메리츠 레버리지 구리 선물 ETN(H),6.42,44.77
10,580032,KB 레버리지 구리 선물 ETN(H),6.87,45.37
10,610036,메리츠 인버스 2X 대표 농산물 선물 ETN(H),16.64,46.7
10,700009,하나 레버리지 구리 선물 ETN(H),6.56,45.74
10,570073,한투 인버스 2X 구리 선물 ETN,6.69,50.47
10,530080,삼성 인버스 항셍테크 ETN(H),11.16,40.04
10,570069,한투 레버리지 플래티넘 선물 ETN,13.93,53.83
10,530098,삼성 블룸버그 WTI원유 선물 ETN,14.12,34.67
10,700013,하나 레버리지 콩 선물 ETN(H),15.34,45.05
10,500004,신한 브렌트원유 선물 ETN(H),14.09,41.02
10,570053,한투 인버스 플래티넘 선물 ETN,14.23,33.44
10,700012,하나 인버스 2X 옥수수 선물 ETN(H),21.19,50.38
10,570058,한투 인버스 은 선물 ETN,7.07,34.03
10,530023,삼성 레버리지 China A50 선물 ETN(H),13.19,38.43
10,520010,미래에셋 원유선물혼합 ETN(H),16.73,43.77
10,570072,한투 레버리지 구리 선물 ETN,11.75,42.51
10,520043,미래에셋 S&P 유럽탄소배출권 선물 ETN,16.52,45.9
10,550069,N2 레버리지 구리 선물 ETN(H),7.95,44.15
10,570074,한투 S&P 유럽탄소배출권 선물 ETN(H),11.63,44.32
10,610030,메리츠 S&P 유럽탄소배출권 선물 ETN(H),11.59,43.9
11,530118,삼성 코스닥 150 TR ETN,9.26,19.82
11,500016,신한 금 선물 ETN(H),8.14,14.49
11,500035,신한 레버리지 미국달러 선물 ETN,8.73,17.29
11,570055,한투 금 선물 ETN,15.14,13.01
11,530067,삼성 KRX 금현물 ETN,15.22,14.18
11,530055,삼성 레버리지 금 선물 ETN(H),19.02,30.02
11,570056,한투 인버스 금 선물 ETN,5.02,19.88
11,530083,삼성 금 선물 ETN(H),10.23,14.38
11,610012,메리츠 레버리지 금 선물 ETN(H),20.12,28.65
11,610059,메리츠 3X 레버리지 국채10년 ETN,10.65,20.55
11,520067,미래에셋 홍콩H 선물 ETN(H),13.95,24.79
11,500067,신한 레버리지 10년 국채선물 ETN,6.59,15.66
11,610011,메리츠 금 선물 ETN(H),11.48,14.09
11,580022,KB 레버리지 금 선물 ETN(H),18.19,28.48
11,500017,신한 은 선물 ETN(H),10.42,28.43
11,570057,한투 은 선물 ETN,13.14,25.52
11,550062,N2 레버리지 금 선물 ETN(H),17.88,27.73
11,610026,메리츠 구리 선물 ETN(H),5.37,22.12
11,530095,삼성 구리 선물 ETN(H),5.3,23.01
11,530089,삼성 은 선물 ETN(H),13.96,29.24
11,610014,메리츠 은 선물 ETN(H),14.06,29.03
11,530014,삼성 China A50 선물 ETN(H),7.12,20.39
11,610039,메리츠 인버스 미국채30년 ETN(H),13.83,17.29
11,570071,한투 구리 선물 ETN,11.22,20.39
11,510035,대신 3X 레버리지 국채10년 ETN,5.7,18.75
11,500014,신한 인버스 옥수수 선물 ETN(H),2.6,24.06
11,580057,KB 일본 컨슈머 TOP 10 ETN,16.9,14.33
11,570063,한투 베트남 VN30 선물 ETN(H),2.21,22.6
11,570085,한투 블룸버그 인도네시아 대표원자재 ETN,17.55,28.03
11,570052,한투 플래티넘 선물 ETN,2.67,26.49
11,500009,신한 다우존스지수 선물 ETN(H),12.45,17.21
11,530020,삼성 미국 대형 가치주 ETN,12.08,19.54
11,530019,삼성 미국 대형 성장주 ETN,14.64,19.3
11,500023,신한 콩 선물 ETN(H),4.27,19.65
11,500086,신한 코스닥 150 TR ETN,16.49,19.84
11,610010,메리츠 인버스 2X 국채30년 ETN,14.65,30.65
11,610009,메리츠 인버스 국채30년 ETN,8.39,14.97
11,500018,신한 구리 선물 ETN(H),11.44,21.73
11,520062,미래에셋 인도네시아 금속&에너지 Top5 ETN,11.13,26.76
11,610021,메리츠 인버스 2X 국채10년 ETN,4.68,14.64
11,530016,삼성 미국 대형 가치주 ETN(H),10.22,20.91
11,760008,키움 코스닥 150 TR ETN,7.73,21.05
11,520039,미래에셋 코스닥150 선물 ETN,5.7,28.07
11,550085,N2 코스닥 150 TR ETN,7.53,22.64
11,580030,KB KOSDAQ 150 선물 ETN,5.51,27.14
11,590018,미래에셋 중국 심천 100 ETN,4.84,20.68
11,530015,삼성 미국 대형 성장주 ETN(H),12.96,21.33
11,550066,N2 S&P500 버퍼10% 9월 ETN,15.43,14.94
11,500001,신한 K200 USD 선물 바이셀 ETN,3.66,22.53
11,570047,한투 FTSE100 ETN,17.11,15.6
11,550073,N2 iSelect-WG 그린에너지 ESG ETN,14.16,22.12
11,550079,N2 S&P500 버퍼10% 12월 ETN(H),16.59,19.44
11,610072,메리츠 KAP 레버리지 중국 위안화 ETN,13.04,14.1
11,500055,신한 인버스 Russell 2000 ETN,5.1,29.03
11,530121,삼성 항셍테크 ETN(H) B,17.07,16.31
12,500083,신한 KOFR금리 ETN,3.68,0.22
12,570090,한투 KIS CD금리투자 ETN,3.81,0.18
12,570019,한투 코스피 양매도 5% OTM ETN,-0.47,8.46
12,610057,메리츠 3X 레버리지 국채5년 ETN,5.93,9.11
12,610055,메리츠 3X 레버리지 국채3년 ETN,5.42,4.45
12,500012,신한 인버스 달러인덱스 선물 ETN(H),-1.05,6.87
12,610018,메리츠 국채10년 ETN,0.57,7.34
12,610001,메리츠 인플레이션 국채 ETN,6.17,4.9
12,520070,미래에셋 0.5X 코스피200 선물 ETN,14.95,8.35
12,610002,메리츠 레버리지 인플레이션 국채 ETN,9.75,9.67
12,610056,메리츠 인버스 3X 국채3년 ETN,-1.57,4.32
12,610047,메리츠 인버스 국채3년 ETN,1.26,1.57
12,550082,N2 KIS CD금리투자 ETN,3.81,0.17
12,520071,미래에셋 0.5X 코스닥150 선물 ETN,7.93,10.77
12,610020,메리츠 인버스 국채10년 ETN,3.68,7.26
12,610052,메리츠 인버스 2X 국채5년 ETN,-3.25,6.03
12,500084,신한 미국달러 SOFR금리 플러스 ETN,9.86,8.82
12,610024,메리츠 인버스 미국채10년 ETN(H),10.97,8.97
12,500080,신한 S&P 레버리지 유로 선물 ETN(H),4.91,12.55
12,610063,메리츠 KIS CD금리투자 ETN,3.81,0.25
12,610050,메리츠 레버리지 국채5년 ETN,8.2,6.07
12,610046,메리츠 레버리지 국채3년 ETN,5.8,2.94
12,610051,메리츠 인버스 국채5년 ETN,0.1,2.9
12,760004,키움 인버스 미국달러선물 ETN,-1.97,8.35
12,500011,신한 달러인덱스 선물 ETN(H),3.04,6.96
12,500079,신한 S&P 인버스 유로 선물 ETN(H),5.95,7.07
12,500081,신한 S&P 인버스 2X 유로 선물 ETN(H),6.36,13.03
12,610071,메리츠 KAP 중국 위안화 ETN,8.54,6.6
12,700026,하나 CD금리투자 ETN,3.7,0.14
12,580058,KB KIS CD금리투자 ETN,3.65,0.16
12,760009,키움 CD금리투자 ETN,3.64,0.15
12,520026,미래에셋 코스피 양매도 5% OTM ETN,-1.43,8.62
12,610066,메리츠 KAP 통안채 3개월 ETN,3.59,0.19
12,760001,키움 미국달러선물 ETN,9.71,9.99
12,610064,메리츠 KAP 통안채 6개월 ETN,3.6,0.2
12,550059,N2 iSelect 글로벌 EMP ETN(H),3.76,8.9
12,610065,메리츠 KIS 통안채 1년 ETN,3.83,0.27
12,500091,신한 33-12 국고채 플러스 ETN,18.03,3.52
12,500088,신한 2X 26-05 은행채(AAA) ETN,10.55,1.52
12,500090,신한 2X 26-05 공사채(AAA) ETN,8.97,1.23
12,500089,신한 26-05 공사채(AAA) ETN,6.93,0.64
12,510041,대신 KAP 통안채 3개월 ETN,3.25,0.17
