,Return,Std Dev,Symbol(Name)
338220,27.01,70.09,338220 (뷰노)
256840,48.48,70.49,256840 (한국비엔씨)
215000,8.94,36.94,215000 (골프존)
095660,8.22,51.25,095660 (네오위즈)
082920,18.94,38.78,082920 (비츠로셀)
334970,-0.19,64.42,334970 (프레스티지바이오로직스)
032500,24.68,50.92,032500 (케이엠더블유)
314930,40.65,63.03,314930 (바이오다인)
091700,12.44,43.07,091700 (파트론)
099320,18.32,46.46,099320 (쎄트렉아이)
215600,9.08,66.12,215600 (신라젠)
039440,47.33,56.1,039440 (에스티아이)
179900,49.19,61.43,179900 (유티아이)
114840,98.52,61.59,114840 (아이패밀리에스씨)
220100,31.35,67.38,220100 (퓨쳐켐)
228760,22.27,65.14,228760 (지노믹트리)
397030,70.68,70.78,397030 (에이프릴바이오)
372320,120.0,84.94,372320 (큐로셀)
014620,4.86,42.89,014620 (성광벤드)
290650,30.57,52.54,290650 (엘앤씨바이오)
084850,7.21,51.93,084850 (아이티엠반도체)
206650,37.06,64.13,206650 (유바이오로직스)
101160,28.35,50.95,101160 (월덱스)
032190,19.7,44.96,032190 (다우데이타)
107640,132.67,110.0,107640 (한중엔시에스)
006730,4.84,36.17,006730 (서부T&D)
200670,16.09,49.64,200670 (휴메딕스)
372170,47.08,71.76,372170 (윤성에프앤씨)
082270,27.31,60.14,082270 (젬백스)
161580,15.87,56.21,161580 (필옵틱스)
252990,8.27,53.01,252990 (샘씨엔에스)
049070,17.42,44.48,049070 (인탑스)
439090,-14.69,80.64,439090 (마녀공장)
068240,17.4,47.2,068240 (다원시스)
034950,13.5,16.66,034950 (한국기업평가)
102710,19.46,47.52,102710 (이엔에프테크놀로지)
033500,19.67,43.66,033500 (동성화인텍)
171090,40.68,70.18,171090 (선익시스템)
108860,24.93,57.9,108860 (셀바스AI)
095610,27.43,51.92,095610 (테스)
160190,-52.34,120.26,160190 (하이젠알앤엠)
023160,3.01,41.35,023160 (태광)
059090,34.22,58.28,059090 (미코)
304360,148.44,100.27,304360 (에스바이오메딕스)
094170,40.24,62.32,094170 (동운아나텍)
455900,-89.29,68.66,455900 (엔젤로보틱스)
104830,11.48,38.84,104830 (원익머트리얼즈)
297890,24.58,66.71,297890 (HB솔루션)
043150,17.28,44.17,043150 (바텍)
089010,25.57,52.24,089010 (켐트로닉스)
099430,2.25,47.65,099430 (바이오플러스)
323990,75.22,92.0,323990 (박셀바이오)
060280,13.12,51.74,060280 (큐렉소)
029960,26.03,46.5,029960 (코엔텍)
138580,30.27,54.37,138580 (비즈니스온)
243070,2.02,42.2,243070 (휴온스)
095500,16.62,55.7,095500 (미래나노텍)
166480,3.22,61.21,166480 (코아스템켐온)
110990,28.94,57.88,110990 (디아이티)
089980,23.86,49.74,089980 (상아프론테크)
038500,12.43,54.0,038500 (삼표시멘트)
122640,50.26,65.48,122640 (예스티)
230360,11.86,49.69,230360 (에코마케팅)
013030,15.0,40.45,013030 (하이록코리아)
394280,77.54,83.16,394280 (오픈엣지테크놀로지)
319400,14.31,48.46,319400 (현대무벡스)
950130,23.31,67.3,950130 (엑세스바이오)
031330,25.34,49.98,031330 (에스에이엠티)
094360,61.92,63.8,094360 (칩스앤미디어)
205470,52.43,76.89,205470 (휴마시스)
041830,31.22,50.73,041830 (인바디)
051360,20.52,43.14,051360 (토비스)
360070,41.8,77.17,360070 (탑머티리얼)
053610,24.86,48.88,053610 (프로텍)
058820,19.76,62.33,058820 (CMG제약)
045100,17.15,42.96,045100 (한양이엔지)
032820,20.45,65.01,032820 (우리기술)
294090,45.96,83.35,294090 (이오플로우)
119610,20.96,34.7,119610 (인터로조)
083450,38.71,49.23,083450 (GST)
347850,-13.72,91.52,347850 (디앤디파마텍)
445090,71.73,105.74,445090 (에이직랜드)
005160,10.66,41.49,005160 (동국산업)
243840,24.11,48.66,243840 (신흥에스이씨)
218410,12.41,44.05,218410 (RFHIC)
035890,8.89,46.82,035890 (서희건설)
337930,22.92,50.99,337930 (브랜드엑스코퍼레이션)
093320,33.38,49.57,093320 (케이아이엔엑스)
095700,16.55,53.75,095700 (제넥신)
084110,24.5,47.15,084110 (휴온스글로벌)
114810,26.21,46.68,114810 (한솔아이원스)
114190,20.54,52.64,114190 (강원에너지)
267980,-6.81,27.59,267980 (매일유업)
151860,17.42,52.46,151860 (KG에코솔루션)
036620,29.94,64.7,036620 (감성코퍼레이션)
378340,-62.1,81.05,378340 (필에너지)
136480,2.58,41.77,136480 (하림)
025770,30.18,55.0,025770 (한국정보통신)
126700,24.37,49.86,126700 (하이비젼시스템)
265520,-0.86,43.43,265520 (AP시스템)
388720,27.06,69.63,388720 (유일로보틱스)
060250,30.92,49.4,060250 (NHN KCP)
044490,0.86,47.6,044490 (태웅)
174900,36.4,74.64,174900 (앱클론)
050890,21.87,56.6,050890 (쏠리드)
052020,41.15,76.78,052020 (에스티큐브)
003800,10.26,29.2,003800 (에이스침대)
041960,9.24,54.06,041960 (코미팜)
216080,38.86,63.35,216080 (제테마)
060150,9.43,40.21,060150 (인선이엔티)
018310,21.98,51.02,018310 (삼목에스폼)
092040,13.37,54.64,092040 (아미코젠)
416180,21.55,100.92,416180 (신성에스티)
035600,17.45,49.27,035600 (KG이니시스)
051370,20.84,56.97,051370 (인터플렉스)
041020,15.68,67.2,041020 (폴라리스오피스)
102940,16.17,56.45,102940 (코오롱생명과학)
