,Return,Std Dev,Symbol(Name)
AAPL.O,52.53,86.98,AAPL.O (애플)
MSFT.O,26.3,25.69,MSFT.O (마이크로소프트)
AMZN.O,34.03,32.61,AMZN.O (아마존닷컴)
JPM,17.09,27.46,JPM (제이피모간체이스)
WMT,7.93,26.13,WMT (월마트)
CSCO.O,9.29,25.98,CSCO.O (시스코 시스템즈)
V,24.04,24.75,V (비자)
UNH,27.1,25.08,UNH (유나이티드헬스 그룹)
BA,14.63,35.86,BA (보잉)
HD,22.97,23.22,HD (홈디포)
NKE,16.03,27.92,NKE (나이키)
MRK,10.7,20.64,MRK (머크 앤 코)
CVX,9.13,27.04,CVX (셰브론)
INTC.O,5.41,31.57,INTC.O (인텔)
PG,8.91,17.26,PG (프록터 & 갬블)
CRM,26.67,36.09,CRM (세일즈포스)
MCD,12.24,18.68,MCD (맥도날드)
DIS,10.8,26.11,DIS (월트 디즈니)
KO,8.65,17.05,KO (코카콜라)
JNJ,8.59,16.87,JNJ (존슨앤드존슨)
GS,13.97,28.12,GS (골드만삭스)
CAT,17.19,28.63,CAT (캐터필러)
HON.O,-2.3,20.2,HON.O (허니웰 인터내셔널)
VZ,4.8,18.59,VZ (버라이존 커뮤니케이션스)
AXP,18.02,28.62,AXP (아메리칸 익스프레스)
MMM,6.07,23.77,MMM (쓰리엠 (3M))
AMGN.O,16.93,24.09,AMGN.O (암젠)
IBM,5.59,22.36,IBM (인터내셔날 비지니스 머신)
TRV,13.51,22.25,TRV (트래블러스 컴퍼니스)
DOW,8.46,36.33,DOW (다우)
