,Return,Std Dev,Symbol(Name)
530036,-23.76,91.95,530036 (삼성 인버스 2X WTI원유 선물 ETN)
530107,-35.79,60.51,530107 (삼성 인버스 2X 코스닥150 선물 ETN)
500027,-26.75,89.81,500027 (신한 인버스 2X WTI원유 선물 ETN(H))
530111,-46.29,104.74,530111 (삼성 레버리지 천연가스 선물 ETN C)
530031,6.05,80.3,530031 (삼성 레버리지 WTI원유 선물 ETN)
580044,-36.03,60.33,580044 (KB 인버스 2X KOSDAQ 150 선물 ETN)
550074,-78.22,117.44,550074 (N2 블룸버그 2X 천연가스 선물 ETN(H))
520057,-35.71,60.71,520057 (미래에셋 인버스 2X 코스닥150 선물 ETN)
500019,6.65,78.69,500019 (신한 레버리지 WTI원유 선물 ETN(H))
570082,-35.45,60.74,570082 (한투 인버스 2X 코스닥150선물 ETN)
530116,-33.18,42.35,530116 (삼성 인버스 2X 나스닥 100 ETN)
580014,-12.94,52.52,580014 (KB 인버스 2X 나스닥 100 ETN)
500082,-53.92,104.26,500082 (신한 블룸버그 2X 천연가스 선물 ETN)
530109,-49.47,65.21,530109 (삼성 S&P500 VIX S/T 선물 ETN)
570093,-48.54,105.34,570093 (한투 레버리지 천연가스 선물 ETN B)
530119,-0.67,56.46,530119 (삼성 레버리지 항셍테크 ETN(H) B)
530118,-3.97,26.73,530118 (삼성 코스닥 150 TR ETN)
530099,13.64,67.69,530099 (삼성 블룸버그 레버리지 WTI원유 선물 ETN)
580055,-54.93,103.1,580055 (KB 블룸버그 레버리지 천연가스 선물 ETN)
500076,-49.64,65.03,500076 (신한 S&P500 VIX S/T 선물 ETN D)
530088,-22.68,77.67,530088 (삼성 레버리지 KRX 2차전지 K-뉴딜 ETN)
530122,170.77,55.1,530122 (삼성 인버스 2X 항셍테크 ETN(H) B)
580020,-9.01,63.77,580020 (KB 천연가스 선물 ETN(H))
570023,-20.9,38.22,570023 (한투 인버스 2X S&P500 선물 ETN(H))
520052,-55.48,59.88,520052 (미래에셋 천연가스 선물 ETN(H))
580036,6.08,67.93,580036 (KB S&P 레버리지 WTI원유 선물 ETN(H))
500072,-35.69,60.69,500072 (신한 인버스 2X 코스닥 150 선물 ETN)
520076,-78.37,77.15,520076 (미래에셋 1.5X 천연가스 선물 ETN)
530100,5.88,71.19,530100 (삼성 블룸버그 인버스 2X WTI원유 선물 ETN)
520055,-20.75,36.35,520055 (미래에셋 인버스 2X 코스피200 선물 ETN)
580037,5.8,71.4,580037 (KB S&P 인버스 2X WTI원유 선물 ETN)
570107,-99.43,33.84,570107 (한투 인버스2X일본니케이225선물 ETN(H))
530062,-23.92,61.63,530062 (삼성 인버스 2X 은 선물 ETN(H))
500030,-14.29,58.29,500030 (신한 인버스 2X 은 선물 ETN(H))
500066,6.14,71.6,500066 (신한 블룸버그 인버스 2X WTI원유 선물 ETN)
580051,-38.6,61.85,580051 (KB 레버리지 밀 선물 ETN)
530056,-14.45,29.92,530056 (삼성 인버스 2X 금 선물 ETN(H))
510037,-49.82,104.1,510037 (대신 S&P 2X 천연가스 선물 ETN B)
570102,-50.08,63.54,570102 (한투 레버리지 나스닥100 ETN B)
500038,-10.05,33.66,500038 (신한 인버스 2X 금 선물 ETN)
570088,-56.06,59.75,570088 (한투 S&P500 VIX S/T 선물 ETN(H))
