ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
XLG,Invesco S&P 500 Top 50 ETF,78,5,120,14,44.0,64.0,1.0,10.0,0.3777540868007401
RSPU.K,Invesco S&P 500 Eql Wght Utilities ETF,86,5,120,14,44.0,64.0,1.0,10.0,0.2393682192218718
PTH.O,Invesco Dorsey Wright Healthcare Momentum ETF,70,5,120,14,34.0,74.0,1.0,10.0,0.2250422269951149
RSPN.K,Invesco S&P 500 Eql Wght Industrials ETF,78,5,120,14,44.0,64.0,1.0,10.0,0.1703184070697954
PRF,Invesco FTSE RAFI US 1000 ETF,92,5,120,14,34.0,64.0,1.0,10.0,0.15876664488548276
TLTW.K,iShares 20+ Year Treasury Bond BuyWrite Strat ETF,142,5,120,14,34.0,64.0,1.0,10.0,0.1365758484173274
RWJ,Invesco S&P SmallCap 600 Revenue ETF,78,5,120,14,44.0,64.0,1.0,10.0,0.13454246444645368
LTPZ.K,PIMCO 15+ Year US TIPS Index Exchange-Traded Fund,105,5,120,14,44.0,64.0,1.0,10.0,0.02337865671607675
RSPH.K,Invesco S&P 500 Eql Wght Health Care ETF,78,5,120,14,44.0,64.0,1.0,10.0,0.06499580191132237
PRFZ.O,Invesco FTSE RAFI US 1500 Small Mid ETF,92,5,120,14,34.0,64.0,1.0,10.0,0.0588744653621458
KRBN.K,KraneShares Global Carbon Strategy ETF,48,5,120,14,44.0,74.0,1.0,10.0,0.03021766322378938
BBIP.K,JPMorgan BetaBuilders US TIPS 0-5 Year ETF,111,5,120,14,44.0,64.0,1.0,10.0,0.015210444154181157
ICLN.O,iShares Global Clean Energy ETF,96,5,120,14,44.0,64.0,1.0,10.0,0.0025047267856845856
TLT.O,iShares 20+ Year Treasury Bond ETF,105,5,120,14,44.0,64.0,1.0,10.0,0.002039130347300633
PVI,Invesco Floating Rate Municipal Income ETF,107,5,120,14,44.0,64.0,1.0,10.0,-0.0007041043312584483
IBTE.O,iShares iBonds Dec 2024 Term Treasury ETF,107,5,120,14,44.0,64.0,1.0,10.0,-0.0023479776539899744
AGZD.O,WisdomTree Interest Rate Hdg US Aggr Bd,111,5,120,14,44.0,64.0,1.0,10.0,-0.008558435798782127
TUA,Simplify Short Term Treasury Futures Strategy ETF,118,5,120,14,44.0,74.0,1.0,10.0,0.5627285730283897
EBND.K,SPDR Bloomberg Emerging Markets Local Bond ETF,115,5,120,14,44.0,64.0,1.0,10.0,-0.021930107278967492
WIP,SPDR FTSE Intl Govt Inflation-Protected Bond ETF,115,5,120,14,44.0,64.0,1.0,10.0,-0.0282136512164185
IBTG.O,iShares iBonds Dec 2026 Term Treasury ETF,111,5,120,14,44.0,64.0,1.0,10.0,-0.036406669536932834
DUG,ProShares UltraShort Energy,137,5,120,14,34.0,74.0,1.0,10.0,-0.07451655253813005
FAIL.K,Cambria Global Tail Risk ETF,130,5,120,14,34.0,74.0,1.0,10.0,-0.11881036244834853
IVOL.K,Quadratic Interest Rate Vltly and Infltn Hdg ETF,118,5,120,14,44.0,74.0,1.0,10.0,-0.12661261957435455
VIXM.K,ProShares VIX Mid-Term Futures ETF,139,5,120,14,34.0,74.0,1.0,10.0,-0.16574330993277286
RZG,Invesco S&P SmallCap 600 Pure Growth ETF,78,5,120,14,44.0,64.0,1.0,10.0,-0.26127515968595294
BMVP.K,Invesco Bloomberg MVP Multi-Factor ETF,83,5,120,14,44.0,64.0,1.0,10.0,-0.36731102305813734
HIBS.K,Direxion Daily S&P 500 High Beta Bear 3X Shares,156,5,120,14,34.0,64.0,1.0,10.0,-0.42138419414630546
PSCH.O,Invesco S&P SmallCap Health Care ETF,78,5,120,14,44.0,64.0,1.0,10.0,-0.45084339988214794
BITI.K,ProShares Short Bitcoin Strategy ETF,154,5,120,14,34.0,64.0,1.0,10.0,-0.6413238746365197
