ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
WBD.O,워너 브로스 디스커버리,22,5,60,14,34.0,64.0,1.0,10.0,583.1420749108092
HUM,휴마나,11,5,120,14,44.0,54.0,1.0,10.0,2.0504691767048717
FMC,FMC,19,5,120,14,39.0,54.0,1.0,10.0,0.32270645965411715
KMX,카맥스,13,5,60,14,49.0,54.0,1.0,10.0,0.1912431182006562
LKQ.O,LKQ,13,5,60,14,49.0,54.0,1.0,10.0,0.15389252506743656
PFE,화이자,20,5,120,14,44.0,54.0,1.0,10.0,0.14292331203446507
TRMB.O,트림블,13,5,60,14,49.0,54.0,1.0,10.0,0.13951723445270092
D,도미니언 에너지,20,5,120,14,44.0,54.0,1.0,10.0,0.13270426255633994
K,켈라노바,20,5,120,14,44.0,54.0,1.0,10.0,0.12888426944684395
CRL,찰스 리버 래보라토리스 인터내셔널,13,5,60,14,49.0,54.0,1.0,10.0,0.12656357551673714
CCI,크라운 캐슬,17,5,60,14,39.0,54.0,1.0,10.0,0.11870146066141163
CAG,콘아그라 브랜즈,20,5,120,14,44.0,54.0,1.0,10.0,0.11759137516051332
SJM,J.M.스머커,20,5,120,14,44.0,54.0,1.0,10.0,0.06777482840460447
MKC,맥코믹 앤 컴퍼니 무의결권주,13,5,60,14,49.0,54.0,1.0,10.0,0.0403541014390596
O,리얼티 인컴,20,5,120,14,44.0,54.0,1.0,10.0,0.011319204938087246
ES,에버소스 에너지,20,5,120,14,44.0,54.0,1.0,10.0,-0.013868898183868827
ARE,알렉산드리아 리얼에스테이트 이쿼티,20,5,120,14,44.0,54.0,1.0,10.0,-0.032394644498454084
BA,보잉,13,5,60,14,49.0,54.0,1.0,10.0,-0.0365072712551896
RVTY.K,레비티,11,5,120,14,44.0,54.0,1.0,10.0,-0.05255506259357068
AWK,아메리칸 워터 웍스,12,5,120,14,49.0,54.0,1.0,10.0,-0.05538364981719157
XEL.O,엑셀 에너지,17,5,60,14,39.0,54.0,1.0,10.0,-0.07855647991057146
SBAC.O,SBA 커뮤니케이션스,12,5,120,14,49.0,54.0,1.0,10.0,-0.08922388289933769
TECH.O,바이오-테크네,19,5,120,14,39.0,54.0,1.0,10.0,-0.09012184159105019
CHTR.O,차터 커뮤니케이션,11,5,120,14,44.0,54.0,1.0,10.0,-0.11956447536722081
UPS,유나이티드 파셀 서비스,20,5,120,14,44.0,54.0,1.0,10.0,-0.13352881604055789
BIO,바이오래드 래보라토리스 Class A,16,5,120,14,39.0,54.0,1.0,10.0,-0.27785730283673293
