,Return,Std Dev,Symbol(Name)
457480,16.21,45.31,457480 (ACE 테슬라밸류체인액티브)
411060,19.29,13.66,411060 (ACE KRX금현물)
272560,2.02,0.36,272560 (RISE 단기국공채액티브)
477050,4.04,0.2,477050 (PLUS 머니마켓액티브)
449180,20.26,15.47,449180 (KODEX 미국S&P500(H))
241180,12.01,17.27,241180 (TIGER 일본니케이225)
251340,-8.4,28.44,251340 (KODEX 코스닥150선물인버스)
483280,34.84,37.8,483280 (KODEX 미국AI테크TOP10+15%프리미엄)
439860,5.57,2.09,439860 (KODEX ESG종합채권(A-이상)액티브)
448290,20.09,13.94,448290 (TIGER 미국S&P500TR(H))
091230,10.97,25.77,091230 (TIGER 반도체)
394660,2.31,23.32,394660 (TIGER 글로벌자율주행&전기차SOLACTIVE)
143860,12.95,28.43,143860 (TIGER 헬스케어)
449190,33.65,19.6,449190 (KODEX 미국나스닥100(H))
388420,11.98,29.8,388420 (RISE 비메모리반도체액티브)
245710,11.02,19.53,245710 (ACE 베트남VN30(합성))
361580,9.11,17.92,361580 (RISE 200TR)
481060,32.1,12.48,481060 (KODEX 미국30년국채+12%프리미엄(합성 H))
273140,1.89,0.25,273140 (KODEX 단기변동금리부채권액티브)
466940,57.49,27.17,466940 (TIGER 은행고배당플러스TOP10)
423920,79.09,63.99,423920 (TIGER 미국필라델피아반도체레버리지(합성))
471230,14.78,5.64,471230 (KODEX 국고채10년액티브)
367770,0.95,22.83,367770 (RISE 수소경제테마)
473290,6.15,1.27,473290 (KODEX 26-12 회사채(AA-이상)액티브)
200250,11.26,17.03,200250 (KOSEF 인도Nifty50(합성))
456600,79.89,28.57,456600 (TIMEFOLIO 글로벌AI인공지능액티브)
461460,8.83,6.72,461460 (PLUS 국고채10년액티브)
290130,6.59,19.43,290130 (RISE ESG사회책임투자)
448880,6.56,0.89,448880 (ACE 24-12 회사채(AA-이상)액티브)
463290,4.53,0.25,463290 (1Q 단기금융채액티브)
394670,-15.84,24.29,394670 (TIGER 글로벌리튬&2차전지SOLACTIVE(합성))
449450,63.31,30.27,449450 (PLUS K방산)
484790,28.71,17.4,484790 (KODEX 미국30년국채액티브(H))
451600,9.89,13.48,451600 (PLUS 국고채30년액티브)
472160,62.59,27.67,472160 (TIGER 미국테크TOP10 INDXX(H))
295040,6.67,19.4,295040 (SOL 200TR)
462330,-60.5,94.21,462330 (KODEX 2차전지산업레버리지)
409820,16.06,49.15,409820 (KODEX 미국나스닥100레버리지(합성 H))
464540,4.83,0.53,464540 (RISE 25-03 회사채(AA-이상)액티브)
479520,3.71,0.15,479520 (RISE KOFR금리액티브(합성))
476690,46.0,19.89,476690 (TIGER 글로벌비만치료제TOP2Plus)
422420,-3.97,35.98,422420 (RISE 2차전지액티브)
448300,34.14,20.29,448300 (TIGER 미국나스닥100TR(H))
395270,10.29,25.79,395270 (HANARO Fn K-반도체)
332940,12.47,21.14,332940 (HANARO MSCI Korea TR)
438330,6.33,2.23,438330 (TIGER 투자등급회사채액티브)
480310,13.47,36.99,480310 (TIGER 글로벌온디바이스AI)
479730,38.01,18.74,479730 (TIGER 인도빌리언컨슈머)
480260,8.15,1.32,480260 (TIGER 27-04회사채(A+이상)액티브)
473330,15.58,9.07,473330 (SOL 미국30년국채커버드콜(합성))
143850,14.08,16.89,143850 (TIGER 미국S&P500선물(H))
475080,3.73,12.77,475080 (KODEX 테슬라인컴프리미엄채권혼합액티브)
471990,30.57,44.57,471990 (KODEX AI반도체핵심장비)
329650,5.13,5.6,329650 (KODEX TRF3070)
452360,12.01,11.82,452360 (SOL 미국배당다우존스(H))
365780,-0.29,6.97,365780 (ACE 국고채10년)
451530,11.38,19.29,451530 (TIGER 국고채30년스트립액티브)
464930,40.98,20.09,464930 (TIGER 글로벌혁신블루칩TOP10)
372330,-11.14,34.78,372330 (KODEX 차이나항셍테크)
480020,72.78,35.91,480020 (ACE 미국빅테크7+ 15%프리미엄분배(합성))
487340,3.95,0.17,487340 (ACE CD금리&초단기채권액티브)
132030,4.38,15.83,132030 (KODEX 골드선물(H))
461950,-34.03,55.84,461950 (KODEX 2차전지핵심소재10)
228790,-3.65,30.42,228790 (TIGER 화장품)
455860,-24.92,47.31,455860 (SOL 2차전지소부장Fn)
461270,6.06,1.37,461270 (ACE 26-06 회사채(AA-이상)액티브)
363570,-0.29,7.67,363570 (KODEX 장기종합채권(AA-이상)액티브KAP)
483230,4.18,0.33,483230 (RISE 25-06 은행채(AA+이상)액티브)
364960,-10.5,23.44,364960 (TIGER BBIG)
328370,9.34,19.8,328370 (PLUS 코스피TR)
445290,16.77,24.1,445290 (KODEX K-로봇액티브)
447770,12.43,19.46,447770 (TIGER 테슬라채권혼합Fn)
326240,14.56,23.44,326240 (RISE IT플러스)
451060,13.22,18.01,451060 (1Q K200액티브)
466950,64.55,32.49,466950 (TIGER 글로벌AI액티브)
219480,13.35,21.5,219480 (KODEX 미국S&P500선물(H))
364970,-4.15,28.43,364970 (TIGER 바이오TOP10)
482730,17.48,13.59,482730 (TIGER 미국S&P500+10%프리미엄초단기)
213610,7.63,19.17,213610 (KODEX 삼성그룹밸류)
192090,8.48,21.32,192090 (TIGER 차이나CSI300)
261260,-5.15,16.15,261260 (KODEX 미국달러선물인버스2X)
483320,-19.67,64.19,483320 (ACE 엔비디아밸류체인액티브)
305080,3.96,9.54,305080 (TIGER 미국채10년선물)
469820,4.92,0.34,469820 (SOL 24-12 회사채(AA-이상)액티브)
244580,2.99,31.3,244580 (KODEX 바이오)
277630,5.75,17.76,277630 (TIGER 코스피)
182480,8.42,20.01,182480 (TIGER 미국MSCI리츠(합성 H))
481190,50.87,34.09,481190 (SOL 미국테크TOP10)
190620,1.79,0.14,190620 (ACE 단기통안채)
448540,56.98,19.43,448540 (ACE 엔비디아채권혼합블룸버그)
476850,8.31,21.45,476850 (KoAct 배당성장액티브)
475720,5.73,18.67,475720 (RISE 200위클리커버드콜)
332930,12.57,20.65,332930 (HANARO 200TR)
464230,4.09,0.37,464230 (히어로즈 24-09 회사채(AA-이상)액티브)
484890,4.05,0.19,484890 (SOL 머니마켓액티브)
304940,18.57,24.57,304940 (KODEX 미국나스닥100선물(H))
275980,9.87,20.25,275980 (TIGER 글로벌4차산업혁신기술(합성 H))
476070,75.91,30.08,476070 (KODEX 글로벌비만치료제TOP2 Plus)
385550,2.87,0.35,385550 (RISE 단기종합채권(AA-이상)액티브)
463050,25.26,36.53,463050 (TIMEFOLIO K바이오액티브)
292560,-1.72,10.36,292560 (TIGER 일본엔선물)
473440,4.37,1.64,473440 (ACE 11월만기자동연장회사채AA-이상액티브)
462540,5.58,0.96,462540 (SOL 25-09 회사채(AA-이상)액티브)
472150,23.61,19.44,472150 (TIGER 배당프리미엄액티브)
401470,-9.43,26.74,401470 (KODEX K-메타버스액티브)
278620,1.96,0.41,278620 (PLUS 단기채권액티브)
325020,12.93,19.69,325020 (KODEX 배당가치)
456880,7.39,7.88,456880 (ACE 미국달러SOFR금리(합성))
461260,5.15,0.98,461260 (ACE 25-06 회사채(AA-이상)액티브)
475260,4.54,0.5,475260 (ACE 2월만기자동연장회사채AA-이상액티브)
438560,4.55,2.82,438560 (SOL 국고채3년)
472920,10.26,3.13,472920 (HK 종합채권(AA-이상)액티브)
487240,-66.1,77.74,487240 (KODEX AI전력핵심설비)
458210,3.64,0.25,458210 (히어로즈 CD금리액티브(합성))
466400,6.42,0.82,466400 (1Q 25-08 회사채(A+이상)액티브)
435420,11.98,7.43,435420 (TIGER 미국나스닥100TR채권혼합Fn)
486830,4.29,0.21,486830 (HANARO 머니마켓액티브)
130730,2.21,0.45,130730 (KOSEF 단기자금)
470320,5.01,0.28,470320 (BNK 24-11 회사채(AA-이상)액티브)
458260,5.11,9.11,458260 (TIGER 미국투자등급회사채액티브(H))
471760,28.8,41.46,471760 (TIGER AI반도체핵심공정)
309230,19.97,17.27,309230 (ACE 미국WideMoat동일가중)
468820,7.81,0.71,468820 (WOORI 25-09 회사채(AA-이상)액티브)
395290,-10.39,31.79,395290 (HANARO Fn K-POP&미디어)
412770,0.61,25.48,412770 (TIGER 글로벌메타버스액티브)
401170,-14.35,28.53,401170 (RISE 메타버스)
419890,3.64,0.58,419890 (히어로즈 단기채권ESG액티브)
302450,6.91,18.53,302450 (RISE 코스피)
414780,-18.44,24.28,414780 (TIGER 차이나과창판STAR50(합성))
168580,8.52,20.42,168580 (ACE 중국본토CSI300)
228800,-1.78,26.36,228800 (TIGER 여행레저)
282000,1.24,2.17,282000 (RISE 국고채3년선물인버스)
270810,8.68,29.09,270810 (RISE 코스닥150)
472170,33.41,12.95,472170 (TIGER 미국테크TOP10채권혼합)
442320,41.07,29.87,442320 (RISE 글로벌원자력)
232080,7.44,27.58,232080 (TIGER 코스닥150)
488500,-12.2,23.48,488500 (TIGER 미국S&P500동일가중)
433330,25.51,14.15,433330 (SOL 미국S&P500)
438080,9.46,8.4,438080 (ACE 미국S&P500채권혼합액티브)
400970,-9.82,28.13,400970 (TIGER Fn메타버스)
363580,10.71,23.0,363580 (KODEX 200IT TR)
480030,24.55,13.98,480030 (ACE 미국500 15%프리미엄분배(합성))
426030,39.32,24.38,426030 (TIMEFOLIO 미국나스닥100액티브)
245340,16.12,15.41,245340 (TIGER 미국다우존스30)
476750,7.49,20.29,476750 (ACE 미국30년국채엔화노출액티브(H))
438570,6.83,7.54,438570 (SOL 국고채10년)
475270,4.36,0.55,475270 (ACE 5월만기자동연장회사채AA-이상액티브)
278240,23.99,64.72,278240 (RISE 코스닥150선물레버리지)
434060,16.35,10.18,434060 (KODEX TDF2050액티브)
139230,1.41,29.88,139230 (TIGER 200 중공업)
421320,17.89,24.49,421320 (PLUS 우주항공&UAM)
462900,31.72,31.47,462900 (KoAct 바이오헬스케어액티브)
325010,11.5,21.84,325010 (KODEX 성장주)
114820,2.93,4.9,114820 (TIGER 국채3년)
157490,7.09,23.37,157490 (TIGER 소프트웨어)
465350,66.58,48.29,465350 (RISE 2차전지TOP10인버스(합성))
474590,23.5,34.41,474590 (WOORI 반도체밸류체인액티브)
