,Return,Std Dev,Symbol(Name)
BIIB.O,19.42,39.23,BIIB.O (바이오젠)
BIDU.O,10.97,43.2,BIDU.O (바이두 ADR)
FER.O,1.79,36.76,FER.O (페로비알)
ON.O,30.16,44.75,ON.O (온 세미콘덕터)
DXCM.O,34.31,51.9,DXCM.O (덱스컴)
WTW.O,10.77,22.85,WTW.O (윌리스 타워스 왓슨)
FCNCA.O,24.07,33.13,FCNCA.O (퍼스트 시티즌스 뱅크셰어스)
LULU.O,29.4,40.21,LULU.O (룰루레몬 애슬레티카)
CDW.O,29.33,27.95,CDW.O (CDW)
MSTR.O,46.69,59.23,MSTR.O (마이크로스트래티지)
EBAY.O,19.42,29.84,EBAY.O (이베이)
TSCO.O,26.41,28.77,TSCO.O (트랙터 서플라이)
FITB.O,14.55,34.54,FITB.O (피프스 서드 뱅코프)
ANSS.O,18.72,28.49,ANSS.O (앤시스)
ICLR.O,24.61,30.62,ICLR.O (아이콘)
ZS.O,53.66,59.51,ZS.O (지스케일러)
TCOM.O,17.29,46.28,TCOM.O (트립닷컴 그룹 ADR)
TTWO.O,28.71,34.82,TTWO.O (테이크-투 인터랙티브 소프트웨어)
GFS.O,12.22,49.68,GFS.O (글로벌파운드리)
NTAP.O,14.42,33.28,NTAP.O (넷앱)
VOD.O,-2.75,25.88,VOD.O (보다폰 그룹 ADR)
SBAC.O,17.8,25.17,SBAC.O (SBA 커뮤니케이션스)
TROW.O,10.37,28.49,TROW.O (티 로웨 프라이스 그룹)
TW.O,29.24,30.83,TW.O (트레이드웹 마켓)
ERIE.O,20.85,25.15,ERIE.O (이리 인뎀니티)
FSLR.O,18.9,53.22,FSLR.O (퍼스트 솔라)
KSPI.O,61.03,35.48,KSPI.O (카스피.kz 우선주)
APP.O,31.01,72.63,APP.O (앱플로빈)
RYAAY.O,15.19,32.72,RYAAY.O (라이언에어 홀딩스 ADR)
AXON.O,25.99,42.19,AXON.O (액손 엔터프라이스)
DLTR.O,17.08,30.49,DLTR.O (달러 트리)
ERIC.O,2.4,33.87,ERIC.O (텔레폰악티에볼라예트 에릭슨 ADR)
PTC.O,24.74,32.97,PTC.O (PTC)
LI.O,36.04,74.18,LI.O (리 오토 ADR)
CHKP.O,16.68,24.12,CHKP.O (체크 포인트 소프트웨어 테크놀로지)
CINF.O,15.63,25.78,CINF.O (신시내티 파이낸셜)
WBD.O,-27.63,54.3,WBD.O (워너 브로스 디스커버리)
HBAN.O,12.09,32.98,HBAN.O (헌팅턴 뱅크셰어스)
STX.O,24.4,40.65,STX.O (씨게이트 테크놀로지 홀딩스)
STLD.O,24.53,37.67,STLD.O (스틸 다이내믹스)
BNTX.O,100.8,83.89,BNTX.O (바이오엔테크 ADR)
HOLX.O,17.85,27.47,HOLX.O (홀로직)
ILMN.O,17.12,42.37,ILMN.O (일루미나)
WDC.O,14.27,42.66,WDC.O (웨스턴 디지털)
COO.O,15.11,33.21,COO.O (쿠퍼 컴퍼니스)
GMAB.O,37.15,41.45,GMAB.O (젠맵 ADR)
VRSN.O,18.55,26.01,VRSN.O (베리사인)
TER.O,27.56,37.72,TER.O (테라다인)
ZM.O,17.19,58.81,ZM.O (줌 비디오 커뮤니케이션)
SSNC.O,20.64,28.93,SSNC.O (SS&C 테크놀로지스 홀딩스)
PFG.O,13.73,31.71,PFG.O (프린시펄 파이낸셜 그룹)
NTRS.O,8.19,28.0,NTRS.O (노던 트러스트)
MDB.O,64.55,64.81,MDB.O (몽고DB)
SWKS.O,23.35,40.62,SWKS.O (스카이웍스 솔루션스)
ZBRA.O,27.53,36.12,ZBRA.O (지브라 테크놀로지스)
ALGN.O,34.23,45.88,ALGN.O (얼라인 테크놀로지)
TPG.O,20.64,39.41,TPG.O (TPG)
HOOD.O,4.45,74.09,HOOD.O (로빈후드 마켓츠)
DKNG.O,42.35,68.61,DKNG.O (드래프트킹즈 홀딩스)
RPRX.O,-6.52,28.15,RPRX.O (로열티 파마)
JBHT.O,15.48,25.91,JBHT.O (J.B 헌트 운송 서비스)
ULTA.O,29.85,37.94,ULTA.O (울타 뷰티)
FWONK.O,26.06,33.92,FWONK.O (리버티 미디어 포뮬러 원 시리즈 C)
BMRN.O,18.81,36.53,BMRN.O (바이오마린 파마슈티컬)
CG.O,12.49,34.93,CG.O (칼라일 그룹)
BGNE.O,44.64,57.96,BGNE.O (베이진 ADR)
GEN.O,15.32,31.2,GEN.O (젠 디지털)
NBIX.O,42.14,50.88,NBIX.O (뉴로크린 바이오사이언시스)
ENTG.O,35.17,39.93,ENTG.O (인테그리스)
EXPE.O,24.56,41.63,EXPE.O (익스피디아그룹)
LOGI.O,21.96,37.68,LOGI.O (로지텍 인터내셔널)
MANH.O,37.02,35.81,MANH.O (맨해튼 어소시에이츠)
LPLA.O,21.91,36.02,LPLA.O (LPL 파이낸셜 홀딩스)
RIVN.O,-29.49,83.87,RIVN.O (리비안 오토모티브)
WMG.O,5.44,37.03,WMG.O (워너 뮤직 그룹)
OKTA.O,38.23,53.92,OKTA.O (옥타)
UTHR.O,20.97,34.26,UTHR.O (유나이티드 테라퓨틱스)
AKAM.O,12.13,34.55,AKAM.O (아카마이 테크놀로지)
ENPH.O,70.62,80.38,ENPH.O (인페이즈 에너지)
LNT.O,11.22,19.87,LNT.O (얼라이언트 에너지)
VTRS.O,-2.86,33.27,VTRS.O (비아트리스)
SYM.O,84.55,104.83,SYM.O (심보틱)
EVRG.O,9.55,21.12,EVRG.O (에버지)
NDSN.O,21.16,29.16,NDSN.O (노드슨)
BSY.O,17.84,40.57,BSY.O (벤틀리 시스템즈)
CASY.O,22.19,26.56,CASY.O (케이시스 제너럴 스토어스)
PODD.O,30.13,40.96,PODD.O (인슐릿)
SRPT.O,83.84,101.93,SRPT.O (사렙타 테라퓨틱스)
GLPI.O,6.76,29.65,GLPI.O (게이밍 앤드 레저 프로퍼티스)
POOL.O,26.88,28.94,POOL.O (풀)
MORN.O,18.22,24.01,MORN.O (모닝스타)
UAL.O,16.96,47.25,UAL.O (유나이티드 에어라인스 홀딩스)
MBLY.O,-15.15,57.82,MBLY.O (모빌아이 글로벌)
GRAB.O,-13.82,65.75,GRAB.O (그랩 홀딩스)
ARCC.O,5.87,24.15,ARCC.O (아레스 캐피탈)
TECH.O,10.92,33.8,TECH.O (바이오-테크네)
TRMB.O,15.69,34.06,TRMB.O (트림블)
NTRA.O,43.85,63.7,NTRA.O (나테라)
PAA.O,27.23,30.72,PAA.O (Plains All American Pipeline Units)
REG.O,9.32,28.12,REG.O (리젠시 센터스)
INCY.O,22.35,40.89,INCY.O (인사이트)
JKHY.O,17.49,21.86,JKHY.O (잭 헨리 & 어소시에이츠)
TTEK.O,24.41,29.78,TTEK.O (테트라 테크)
SIRI.O,14.75,34.16,SIRI.O (시리우스 XM 홀딩스)
LAMR.O,17.6,34.28,LAMR.O (라마 애드버타이징)
INSM.O,54.19,78.54,INSM.O (인스메드)
MEDP.O,54.98,47.51,MEDP.O (메드페이스 홀딩스)
NTNX.O,22.98,58.94,NTNX.O (뉴타닉스)
CHRW.O,7.37,25.38,CHRW.O (CH 로빈슨 월드와이드)
AZPN.O,29.39,34.71,AZPN.O (애스펜 테크놀로지)
HST.O,18.28,36.28,HST.O (호스트 호텔스 & 리조트)
FLEX.O,19.97,37.62,FLEX.O (플렉스)
FFIV.O,13.07,33.58,FFIV.O (F5)
LECO.O,19.64,26.91,LECO.O (링컨 일렉트릭 홀딩스)
TXRH.O,26.4,32.77,TXRH.O (텍사스 로드하우스)
EWBC.O,18.45,35.24,EWBC.O (이스트 웨스트 뱅코프)
NICE.O,18.69,27.91,NICE.O (나이스 ADR)
APA.O,31.93,54.13,APA.O (APA (US))
FTAI.O,124.5,42.68,FTAI.O (FTAI 애비에이션)
COKE.O,33.26,33.68,COKE.O (코카콜라 콘솔리데이티드)
WING.O,46.73,42.66,WING.O (윙스톱)
EXAS.O,44.69,60.36,EXAS.O (이그젝트 사이언시스)
