ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
FWRD.O,포워드 에어,122,5,60,14,29.0,54.0,1.0,10.0,2655025007448779.0
LCID.O,루시드 그룹,144,5,120,14,34.0,69.0,1.0,10.0,554681368238.2941
MLYS.O,미네랄리스 테라퓨틱스,115,5,120,14,44.0,54.0,1.0,10.0,19448256937.541565
LEGN.O,레전드 바이오테크 ADR,95,5,60,14,44.0,54.0,1.0,10.0,4348.527867538207
ATXS.O,아스트리아 테라퓨틱스,79,5,60,14,49.0,54.0,1.0,10.0,497.2212113470879
MGRM.O,모노그램 테크놀로지스,163,5,60,14,34.0,69.0,1.0,10.0,134.7222011207555
LGVN.O,롱에버론,70,5,60,14,39.0,64.0,1.0,10.0,63.22624334399971
CSLR.O,컴플리트 솔라리아,126,5,120,14,44.0,54.0,1.0,10.0,15.001869392879652
EGRX.O,이글 파마슈티컬스,111,5,120,14,34.0,54.0,1.0,10.0,5.589667965265976
ORGN.O,오리진 머터리얼즈,144,5,120,14,34.0,69.0,1.0,10.0,4.501026853009169
MOND.O,몬디 홀딩스,144,5,120,14,34.0,69.0,1.0,10.0,4.047768964850369
LICN.O,리첸 차이나,77,5,120,14,49.0,54.0,1.0,10.0,2.2135335785561754
ACRS.O,애클래리스 테라퓨틱스,88,5,120,14,39.0,54.0,1.0,10.0,1.9468891029250766
NVCR.O,노보큐어,92,5,120,14,39.0,54.0,1.0,10.0,1.4074093034714998
ZENV.O,젠비아,130,5,120,14,49.0,54.0,1.0,10.0,1.1525944506965473
CCLDP.O,케어 클라우드 우선주 시리즈 A 11%,129,5,120,14,39.0,54.0,1.0,10.0,1.0957417310825566
PETZ.O,TDH 홀딩스,77,5,120,14,49.0,54.0,1.0,10.0,0.8991879270518843
AUID.O,오스아이디,126,5,120,14,44.0,54.0,1.0,10.0,0.7412932203884666
ON.O,온 세미콘덕터,91,5,120,14,49.0,54.0,1.0,10.0,0.7435989275738326
PROK.O,프로키드니,126,5,120,14,44.0,54.0,1.0,10.0,0.6263305128466838
TREE.O,렌딩트리,86,5,120,14,44.0,64.0,1.0,10.0,0.5761507913221038
PODD.O,인슐릿,91,5,120,14,49.0,54.0,1.0,10.0,0.41816516718443775
AEHR.O,에흐르 테스트 시스템즈,71,5,120,14,49.0,59.0,1.0,10.0,0.4135105507986583
UCL.O,유클라우드링크 그룹 ADR,130,5,120,14,49.0,54.0,1.0,10.0,0.3970014785821554
ACAD.O,아카디아 파마슈티컬스,79,5,60,14,49.0,54.0,1.0,10.0,0.263039273963511
TSLA.O,테슬라,73,5,120,14,49.0,74.0,1.0,10.0,0.2603189442554794
NFBK.O,노스필드 뱅코프,116,5,120,14,44.0,54.0,1.0,10.0,0.2508243388889866
MSEX.O,미들섹스 워터,108,5,120,14,44.0,54.0,1.0,10.0,0.2399641248992399
SANG.O,샌고마 테크놀로지스,147,5,120,14,44.0,54.0,1.0,10.0,0.23776026702128172
CYCCP.O,사이클라셀 파마슈티컬스 우선주 6.000%,79,5,60,14,49.0,54.0,1.0,10.0,0.19497658276360763
KZIA.O,카지아 테라퓨틱스 ADR,65,5,120,14,44.0,54.0,1.0,10.0,0.07867537527163027
HQI.O,하이어퀘스트,79,5,60,14,49.0,54.0,1.0,10.0,0.13416486870534494
ADAP.O,어답트이뮨 테라퓨틱스 ADR,100,5,60,14,44.0,59.0,1.0,10.0,0.10538219580174468
ARTNA.O,아르테시안 리소시스,116,5,120,14,44.0,54.0,1.0,10.0,0.10001793578980456
VICR.O,비코,95,5,60,14,44.0,54.0,1.0,10.0,0.09294310451532262
PTSI.O,PAM 트랜스포테이션 서비시스,95,5,60,14,44.0,54.0,1.0,10.0,0.07461031521493999
QURE.O,유니큐어,92,5,120,14,39.0,54.0,1.0,10.0,0.0700757112462751
TBRG.O,트루브리지,128,5,120,14,34.0,54.0,1.0,10.0,0.06636715252129322
BRTX.O,바이오리스토러티브 테라피스,130,5,120,14,49.0,54.0,1.0,10.0,0.05921731980478495
KRNY.O,커니 파이낸셜,116,5,120,14,44.0,54.0,1.0,10.0,0.03422676716639539
BCBP.O,BCB 뱅코프,116,5,120,14,44.0,54.0,1.0,10.0,0.02904125685932879
NISN.O,니선 인터내셔널 엔터프라이스 디벨롭먼트,138,5,120,14,29.0,69.0,1.0,10.0,0.019848134423907426
RTC.O,푸웨이 필름스,65,5,120,14,44.0,54.0,1.0,10.0,0.015109639577042255
NVEI.O,뉴베이,147,5,120,14,44.0,54.0,1.0,10.0,-0.009950777162150315
HTLD.O,하트랜드 익스프레스,116,5,120,14,44.0,54.0,1.0,10.0,-0.010582246405141604
GNSS.O,제나시스,95,5,60,14,44.0,54.0,1.0,10.0,-0.011380336794818313
ROKU.O,로쿠,79,5,60,14,49.0,54.0,1.0,10.0,-0.01812546461617981
SVMH.O,스리바루 홀딩스,153,5,60,14,29.0,54.0,1.0,10.0,-0.02174939090877437
KRMD.O,코루 메디컬 시스템스,71,5,120,14,49.0,59.0,1.0,10.0,-0.027288282654864715
ARWR.O,애로우헤드 파마슈티컬스,79,5,60,14,49.0,54.0,1.0,10.0,-0.019806960116905636
VNET.O,브이넷 그룹 ADR,115,5,120,14,44.0,54.0,1.0,10.0,-0.04120172151204793
PRTA.O,프로테나,79,5,60,14,49.0,54.0,1.0,10.0,-0.03523580062893872
HPK.O,하이피크에너지,71,5,120,14,49.0,59.0,1.0,10.0,-0.0717548361994863
TECH.O,바이오-테크네,110,5,120,14,39.0,54.0,1.0,10.0,-0.07209850235079351
EBMT.O,이글 뱅코프 몬태나,116,5,120,14,44.0,54.0,1.0,10.0,-0.0763171790800996
OESX.O,오리온 에너지 시스템즈,101,5,120,14,39.0,54.0,1.0,10.0,-0.014805316450860695
THTX.O,테라테크놀로지,88,5,120,14,39.0,54.0,1.0,10.0,-0.08365515338323448
MKTX.O,마켓액세스 홀딩스,96,5,60,14,49.0,54.0,1.0,10.0,-0.08729568158863399
RCM.O,R1 Rcm,86,5,120,14,44.0,64.0,1.0,10.0,-0.08873500898074127
AUBN.O,어번 내셔널 뱅코프,122,5,60,14,29.0,54.0,1.0,10.0,-0.10144990574255652
STRM.O,스트림라인 헬스 솔루션,92,5,120,14,39.0,54.0,1.0,10.0,-0.11109468555394197
BCOV.O,브라이트코브,129,5,120,14,39.0,54.0,1.0,10.0,-0.1115720571991059
CGNX.O,코그넥스,91,5,120,14,49.0,54.0,1.0,10.0,-0.11805303673987755
PENN.O,펜 엔터테인먼트,95,5,60,14,44.0,54.0,1.0,10.0,-0.1328089468657223
NARI.O,이나리 메디컬,95,5,60,14,44.0,54.0,1.0,10.0,-0.13925550266694608
MRNA.O,모더나,68,5,120,14,49.0,54.0,1.0,10.0,-0.1594413984321924
BZUN.O,바오준 ADR,115,5,120,14,44.0,54.0,1.0,10.0,-0.40626822515357075
PDSB.O,PDS 바이오테크놀러지,100,5,60,14,44.0,59.0,1.0,10.0,-0.1777499198438287
CTXR.O,시티우스 파마슈티컬스,100,5,60,14,44.0,59.0,1.0,10.0,-0.18982865011496242
PCTTU.O,PureCycle Technologies Unit,130,5,120,14,49.0,54.0,1.0,10.0,-0.19413858937040596
PCT.O,퓨어사이클 테크놀러지,130,5,120,14,49.0,54.0,1.0,10.0,-0.1988413433453653
BEAM.O,빔 테라퓨틱스,79,5,60,14,49.0,54.0,1.0,10.0,-0.20617602614348096
UPC.O,유니버스 파마슈티컬스,126,5,120,14,44.0,54.0,1.0,10.0,-0.2202040990094336
MRIN.O,마린 소프트웨어,126,5,120,14,44.0,54.0,1.0,10.0,-0.227686473663528
SABR.O,세이버,70,5,60,14,39.0,64.0,1.0,10.0,-0.24156033641034502
CYTH.O,사이클로 테라퓨틱스,100,5,60,14,44.0,59.0,1.0,10.0,-0.24591259484747174
INTG.O,인터그룹,107,5,120,14,34.0,54.0,1.0,10.0,-0.2936982582158335
MIGI.O,모손 인프라 스트럭처 그룹,153,5,60,14,29.0,54.0,1.0,10.0,-0.29598459601436344
FOSL.O,파슬 그룹,118,5,120,14,39.0,54.0,1.0,10.0,-0.3084441096953656
GDS.O,GDS 홀딩스 ADR,92,5,120,14,39.0,54.0,1.0,10.0,-0.3153783957077917
EAST.O,이스트사이드 디스틸링,126,5,120,14,44.0,54.0,1.0,10.0,-0.3155576289141231
NKTR.O,넥타 테라퓨틱스,115,5,120,14,44.0,54.0,1.0,10.0,-0.3223883651296281
MNTK.O,몬탁 리뉴어블스,115,5,120,14,44.0,54.0,1.0,10.0,-0.33148898632690604
AEHL.O,안텔로페 엔터프라이즈 홀딩스,100,5,60,14,44.0,59.0,1.0,10.0,-0.35895688493927713
NIU.O,NIU 테크놀러지 ADR,118,5,120,14,39.0,54.0,1.0,10.0,-0.42697682263426473
ERAS.O,이래스카,147,5,120,14,44.0,54.0,1.0,10.0,-0.46411305363992994
SNOA.O,소노마 파머수티컬스,138,5,120,14,29.0,69.0,1.0,10.0,-0.45581419774051457
PRAX.O,프락시스 프리시젼 메디신,100,5,60,14,44.0,59.0,1.0,10.0,-0.49785018005464843
BIGC.O,빅커머스 홀딩스,144,5,120,14,34.0,69.0,1.0,10.0,-0.531200776155459
AEI.O,알셋,153,5,60,14,29.0,54.0,1.0,10.0,-0.5809622231203765
ITRM.O,아이테럼 테라퓨틱스,126,5,120,14,44.0,54.0,1.0,10.0,-0.5784477569046446
AXDX.O,엑셀러레이트 다이아그노스틱스,51,5,120,14,39.0,54.0,1.0,10.0,-0.6116889959513938
SLS.O,셀라스 라이프 사이언스 그룹,126,5,120,14,44.0,54.0,1.0,10.0,-0.6397534164961767
RCRT.O,리쿠르터닷컴 그룹,153,5,60,14,29.0,54.0,1.0,10.0,-0.6061521177892075
