,Return,Std Dev,Symbol(Name)
LVS,12.47,37.94,LVS (라스베이거스 샌즈)
ELV,9.99,23.55,ELV (엘레반스 헬스)
CCI,9.94,23.52,CCI (크라운 캐슬)
TMUS.O,28.39,34.41,TMUS.O (T-모바일 US)
UPS,8.87,23.01,UPS (유나이티드 파셀 서비스)
AXP,17.46,28.61,AXP (아메리칸 익스프레스)
VLTO.K,21.35,27.96,VLTO.K (베랄토)
RSG,16.08,18.74,RSG (리퍼블릭 서비스)
MS,16.68,33.78,MS (모간스탠리)
CI,23.15,28.52,CI (시그나)
EQIX.O,22.77,29.17,EQIX.O (이퀴닉스)
ABT,13.97,21.65,ABT (애보트 래보라토리)
HLT,20.78,28.64,HLT (힐튼 월드와이드 홀딩스)
BMY,6.28,22.89,BMY (브리스톨-마이어스 스큅)
CVS,8.17,24.34,CVS (CVS 헬스)
PGR,21.48,22.41,PGR (프로그레시브)
KMI,0.99,29.22,KMI (킨더 모건)
GIS,6.01,19.25,GIS (제너럴 밀즈)
ADI.O,20.6,28.76,ADI.O (애널로그 디바이시스)
F,6.95,33.55,F (포드 모터)
COP,14.25,34.1,COP (코노코필립스)
ITW,15.85,22.94,ITW (일리노이 툴 웍스)
EXC.O,3.99,23.0,EXC.O (엑셀론)
ETN,21.78,27.82,ETN (이튼)
EL,14.07,29.69,EL (에스티 로더)
UNP,17.52,24.69,UNP (유니온 퍼시픽)
REGN.O,40.46,37.36,REGN.O (리제네론 파마슈티컬스)
LHX,16.02,24.87,LHX (L3 해리스 테크놀러지)
PAYX.O,14.14,22.36,PAYX.O (페이첵스)
YUM,14.59,23.72,YUM (염 브랜즈)
PM,7.83,21.42,PM (필립 모리스 인터내셔널)
GEHC.O,24.55,31.25,GEHC.O (GE HealthCare Technologies Inc)
ZTS,20.0,25.46,ZTS (조에티스)
MCK,20.65,26.07,MCK (매케슨)
IBM,4.77,22.37,IBM (인터내셔날 비지니스 머신)
CHD,16.38,19.8,CHD (처치 & 드와이트)
DOW,8.29,36.64,DOW (다우)
CDNS.O,38.24,29.89,CDNS.O (케이던스 디자인 시스템즈)
CB,14.37,22.21,CB (처브)
MDLZ.O,11.4,19.97,MDLZ.O (몬덜리즈 인터내셔널)
ADM,9.68,26.0,ADM (아처 대니얼스 미들랜드)
ADSK.O,25.65,36.07,ADSK.O (오토데스크)
KLAC.O,36.75,35.13,KLAC.O (KLA)
MDT,8.17,22.45,MDT (메드트로닉)
GM,8.37,34.08,GM (제너럴 모터스)
AIG,12.49,32.61,AIG (아메리칸 인터내셔널 그룹)
COF,14.84,33.48,COF (캐피털 원 파이낸셜)
APD,13.61,24.0,APD (에어 프로덕츠 앤 케미컬스)
MSI,24.18,24.2,MSI (모토로라 솔루션스)
RMD,18.73,30.05,RMD (레스메드)
HUBB.K,20.75,25.94,HUBB.K (허벨)
SLB,5.26,36.39,SLB (슐럼버거)
INCY.O,21.95,40.96,INCY.O (인사이트)
WBA.O,-1.61,29.67,WBA.O (월그린스 부츠 얼라이언스)
SCHW.K,18.62,32.84,SCHW.K (찰스 슈왑)
GILD.O,14.49,27.43,GILD.O (길리어드 사이언스)
GD,14.44,21.8,GD (제너럴 다이내믹스)
WDC.O,16.52,42.5,WDC.O (웨스턴 디지털)
SHW,23.34,24.75,SHW (셔윈-윌리엄즈)
HAL,10.97,42.54,HAL (할리버튼)
SYK,17.66,24.3,SYK (스트라이커)
COR,18.43,24.49,COR (센코라)
CCL,8.42,48.47,CCL (카니발)
MPC,27.97,39.8,MPC (매러선 페트롤리엄)
MMM,4.32,23.03,MMM (쓰리엠 (3M))
WM,16.23,18.55,WM (웨이스트 매니지먼트)
ADP.O,17.28,22.02,ADP.O (오토매틱 데이터 프로세싱)
ORLY.O,29.07,25.37,ORLY.O (오레일리 오토모티브)
JBL,23.47,35.93,JBL (자빌)
DXCM.O,37.75,50.84,DXCM.O (덱스컴)
ANSS.O,19.43,28.52,ANSS.O (앤시스)
KMB,8.04,18.41,KMB (킴벌리클라크)
FCX,16.34,49.79,FCX (프리포트 맥모란)
SNPS.O,31.06,26.2,SNPS.O (시놉시스)
VLO,26.68,39.02,VLO (발레로 에너지)
PLD,15.48,26.7,PLD (프로로지스)
BLK,16.56,27.47,BLK (블랙록)
LYV,24.58,37.44,LYV (라이브 네이션 엔터테인먼트)
NXPI.O,34.94,42.13,NXPI.O (NXP 세미콘덕터)
MPWR.O,41.94,40.1,MPWR.O (모놀리식 파워 시스템즈)
BSX,24.1,28.19,BSX (보스턴 사이언티픽)
ABNB.O,14.94,50.34,ABNB.O (에어비앤비)
DECK.K,35.7,42.43,DECK.K (덱커 아웃도어)
DAL,24.32,38.98,DAL (델타 에어라인스)
BDX,11.32,20.43,BDX (벡톤 디킨슨 앤 코)
SPG,10.7,32.8,SPG (사이먼 프로퍼티 그룹)
AZO,24.53,23.44,AZO (오토존)
NUE,16.11,31.92,NUE (뉴코)
MO,7.85,20.65,MO (알트리아그룹)
ICE,17.22,23.1,ICE (인터컨티넨털 익스체인지)
PWR,25.59,32.26,PWR (콴타 서비스)
AMP,25.05,32.66,AMP (아메리프라이즈 파이낸셜)
ENPH.O,70.27,80.45,ENPH.O (인페이즈 에너지)
ODFL.O,29.58,32.95,ODFL.O (올드 도미니언 프라이트 라인)
NRG,16.13,35.13,NRG (NRG 에너지)
CSX.O,17.64,27.38,CSX.O (CSX)
OXY,8.6,43.06,OXY (옥시덴털 페트롤리움)
URI,49.0,44.54,URI (유나이티드 렌탈스)
EMR,10.1,26.3,EMR (에머슨 일렉트릭)
BIIB.O,20.54,39.27,BIIB.O (바이오젠)
DLR,10.67,26.76,DLR (디지털 리얼티 트러스트)
PSA,11.06,21.96,PSA (퍼블릭 스토리지)
HPQ,10.2,34.27,HPQ (HP)
HWM,63.58,39.58,HWM (하우멧 에어로스페이스)
FICO.K,42.01,34.07,FICO.K (페어 아이작)
EOG,14.41,37.98,EOG (EOG 리소시스)
BX,26.79,34.8,BX (블랙스톤)
AES,9.0,30.81,AES (AES)
HES,16.87,40.68,HES (헤스)
LEN,26.38,36.69,LEN (레나 Class A)
EFX,20.58,26.78,EFX (에퀴팩스)
TRV,13.09,22.17,TRV (트래블러스 컴퍼니스)
USB,7.71,27.64,USB (U.S. 뱅코프)
IP,9.11,29.51,IP (인터내셔널 페이퍼)
SO,7.91,19.53,SO (서던)
FTNT.O,40.38,41.21,FTNT.O (포티넷)
NOC,19.7,22.94,NOC (노스롭 그루만)
DFS,24.23,35.07,DFS (디스커버 파이낸셜 서비스)
CSGP.O,29.29,31.04,CSGP.O (코스타 그룹)
GDDY.K,27.26,34.99,GDDY.K (고대디)
MRNA.O,81.33,73.3,MRNA.O (모더나)
KEYS.K,22.98,30.1,KEYS.K (키사이트 테크놀로지스)
AMT,14.03,24.03,AMT (아메리칸 타워)
TSCO.O,27.17,28.77,TSCO.O (트랙터 서플라이)
CDW.O,30.32,27.92,CDW.O (CDW)
OTIS.K,21.62,24.19,OTIS.K (오티스 월드와이드)
MET,10.01,30.71,MET (메트라이프)
DPZ,36.07,29.08,DPZ (도미노 피자)
