ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
000300,대유플러스,82,5,120,14,34.0,54.0,1.0,10.0,4.238755912059415
448730,삼성FN리츠,73,5,60,14,49.0,54.0,1.0,10.0,1.0557359154423298
580019,KB 인버스 2X 항셍테크 선물 ETN,23,5,60,14,49.0,54.0,1.0,10.0,0.4561895813892325
011785,금호석유우,39,5,120,14,49.0,54.0,1.0,10.0,0.14328578881361498
088260,이리츠코크렙,75,5,120,14,44.0,54.0,1.0,10.0,-0.04920394496627145
003520,영진약품,49,5,60,14,34.0,54.0,1.0,10.0,-0.1289265130808891
33626L,두산퓨얼셀2우B,23,5,60,14,49.0,54.0,1.0,10.0,-0.15997358284795438
007700,F&F홀딩스,34,5,60,14,44.0,54.0,1.0,10.0,-0.242278314445884
334690,KBSTAR 팔라듐선물(H),86,5,120,14,34.0,54.0,1.0,10.0,-0.33990828192235933
003060,에이프로젠바이오로직스,69,5,60,14,29.0,54.0,1.0,10.0,-0.7507118573054716
