Cluster,Symbol,Name,Return,Std Dev
20,570043,한투 레버리지 나스닥 100 ETN,51.87,45.62
20,471990,KODEX AI반도체핵심장비,53.93,38.37
20,465350,RISE 2차전지TOP10인버스(합성),57.92,47.28
20,418660,TIGER 미국나스닥100레버리지(합성),56.35,44.86
21,455850,SOL AI반도체소부장,49.95,32.13
21,466920,SOL 조선TOP3플러스,48.34,32.31
21,471760,TIGER AI반도체핵심공정,49.6,34.72
21,442320,RISE 글로벌원자력,49.31,28.86
21,520054,미래에셋 레버리지 코스피200 선물 ETN,44.78,32.94
21,530104,삼성 레버리지 코스피200 선물 ETN,44.66,32.84
21,500069,신한 레버리지 코스피 200 선물 ETN,43.86,32.77
21,550076,N2 US 500 월간레버리지 ETN(H),51.16,28.11
21,580039,KB 레버리지 KOSPI 200 선물 ETN,44.09,33.7
21,467540,KOSEF 코스닥글로벌,50.54,30.47
22,101140,인바이오젠,46.96,127.14
23,267260,HD현대일렉트릭,49.59,57.32
23,003160,디아이,42.7,59.71
23,003350,한국화장품제조,46.94,62.88
24,33637K,솔루스첨단소재1우,38.55,70.51
24,005257,녹십자홀딩스2우,43.97,70.97
24,483020,KOSEF 의료AI,37.99,79.89
24,004985,성신양회우,42.35,73.19
24,014285,금강공업우,43.92,69.77
24,004545,깨끗한나라우,43.0,76.98
24,009415,태영건설우,46.76,72.56
24,011155,CJ씨푸드1우,44.23,69.43
24,000227,유유제약2우B,43.88,71.96
24,014915,성문전자우,47.24,77.59
24,004415,서울식품우,42.34,70.58
25,390390,KODEX 미국반도체MV,40.21,27.95
25,476690,TIGER 글로벌비만치료제TOP2Plus,44.73,16.82
25,426030,TIMEFOLIO 미국나스닥100액티브,43.79,23.37
25,474590,WOORI 반도체밸류체인액티브,41.9,28.02
25,466930,SOL 자동차TOP3플러스,38.64,25.98
25,485540,KODEX 미국AI테크TOP10,38.23,24.43
25,423170,SOL 한국형글로벌반도체액티브,42.74,24.13
25,464920,ARIRANG 일본반도체소부장Solactive,49.04,24.77
25,483340,ACE 구글밸류체인액티브,42.95,25.16
25,454320,HANARO CAPEX설비투자iSelect,39.08,28.26
25,469160,ACE 일본반도체,47.07,21.75
25,474800,KOSEF 미국원유에너지기업,45.8,16.65
25,453080,KOSEF 미국나스닥100(H),45.51,16.42
25,463680,KODEX 미국S&P500테크놀로지,42.79,18.0
25,481180,SOL 미국AI소프트웨어,46.93,19.66
25,459560,KODEX 테슬라밸류체인FactSet,38.13,22.91
25,469790,KOSEF K-테크TOP10,43.21,18.88
26,003670,포스코퓨처엠,45.47,44.0
26,003230,삼양식품,41.65,46.28
26,007660,이수페타시스,42.48,52.58
26,353200,대덕전자,37.27,49.24
26,229640,LS에코에너지,39.57,50.61
26,006110,삼아알미늄,42.99,51.99
26,035150,백산,36.7,48.36
26,580015,KB 레버리지 나스닥 100 ETN,38.74,42.21
27,453810,KODEX 인도Nifty50,35.68,13.24
27,453870,TIGER 인도니프티50,34.79,12.91
27,449190,KODEX 미국나스닥100(H),35.96,18.0
27,448300,TIGER 미국나스닥100TR(H),36.56,18.82
27,472150,TIGER 배당프리미엄액티브,35.0,13.77
27,482730,TIGER 미국S&P500+10%프리미엄초단기,42.41,6.53
27,472170,TIGER 미국테크TOP10채권혼합,39.56,9.69
27,441800,TIMEFOLIO Korea플러스배당액티브,33.5,16.51
