Cluster,Symbol,Name,Return,Std Dev
10,MGM,MGM 리조트 인터내셔널,21.98,43.99
10,MTCH.O,매치 그룹,23.69,47.77
10,DAY,데이포스,20.18,45.14
11,GOOG.O,알파벳 Class C,23.63,27.96
11,V,비자,23.88,24.77
11,CHTR.O,차터 커뮤니케이션,22.26,29.7
11,TMO,써모 피셔 사이언티픽,23.09,24.55
11,ABBV.K,애브비,19.4,26.35
11,COST.O,코스트코 홀세일,24.01,20.35
11,TXN.O,텍사스 인스트루먼트,20.3,26.7
11,ADI.O,애널로그 디바이시스,20.45,28.81
11,ETN,이튼,21.26,27.9
11,HD,홈디포,23.0,23.22
11,ACN,액센추어,19.63,24.21
11,DHR,다나허,20.46,22.95
11,APH,암페놀,23.25,24.49
11,SHW,셔윈-윌리엄즈,24.62,24.82
11,BSX,보스턴 사이언티픽,23.73,28.17
11,LIN.O,린드,22.98,25.62
11,AZO,오토존,24.77,23.46
11,NOC,노스롭 그루만,20.43,22.96
11,TJX,TJX 컴퍼니스,22.0,24.9
11,LOW,로우스 컴퍼니,23.66,27.59
11,ZTS,조에티스,20.25,25.41
11,PGR,프로그레시브,21.7,22.44
11,EQIX.O,이퀴닉스,22.83,29.13
11,HUM,휴마나,21.54,29.54
11,CI,시그나,23.37,28.47
11,MCK,매케슨,20.76,26.01
11,HLT,힐튼 월드와이드 홀딩스,20.51,28.61
11,PH,파커-하니핀,22.73,29.76
11,IQV,아이큐비아 홀딩스,21.28,27.91
11,ROST.O,로스 스토어스,23.19,29.17
11,MTD,메틀러 톨레도 인터내셔널,24.09,27.29
11,NDAQ.O,나스닥,22.3,25.09
11,OTIS.K,오티스 월드와이드,20.49,24.33
11,GWW,W W 그레인저,21.4,26.64
11,WAB,웨스팅하우스 에어 브레이크 테크놀로지,20.98,30.05
11,EFX,에퀴팩스,21.47,26.82
11,MSI,모토로라 솔루션스,24.22,24.16
11,AME,아메텍,20.47,24.41
11,PKG,패키징 코퍼레이션 오브 아메리카,21.09,27.24
11,TDY,텔레다인 테크놀로지스,22.51,26.58
11,HUBB.K,허벨,20.72,26.04
11,ROL,롤린스,23.62,29.26
11,EXR,엑스트라 스페이스 스토리지,22.92,25.55
11,KEYS.K,키사이트 테크놀로지스,22.98,30.09
11,ACGL.O,아치 캐피털 그룹,22.08,23.8
11,AOS,A O 스미스,21.84,27.2
11,HII,헌팅턴 잉걸스 인더스트리즈,20.23,26.66
11,BR,브로드리지 파이낸셜 솔루션스,21.02,22.29
11,NDSN.O,노드슨,21.35,29.16
12,QCOM.O,퀄컴,18.82,33.02
12,EW,에드워즈 라이프사이언시스,20.97,33.11
12,SCHW.K,찰스 슈왑,17.75,32.95
12,MS,모간스탠리,17.17,33.72
12,COP,코노코필립스,13.92,34.03
12,MCHP.O,마이크로칩 테크놀러지,19.95,33.39
12,RMD,레스메드,18.9,30.07
12,UHS,유니버셜 헬스 서비스,19.45,32.44
12,HIG,하트포드 파이낸셜 서비스 그룹,17.17,31.55
12,COF,캐피털 원 파이낸셜,15.39,33.44
12,PSX,필립스 66,18.71,33.44
12,RJF,레이먼드 제임스 파이낸셜,17.03,31.59
12,MAS,매스코,21.54,31.99
12,EBAY.O,이베이,19.14,29.85
12,MAR.O,메리어트 인터내셔널,21.49,30.72
12,MLM,마틴 마리에타 머터리얼스,19.64,30.58
12,CPRT.O,코파트,19.96,31.5
12,NUE,뉴코,16.19,31.9
12,DLTR.O,달러 트리,17.45,30.49
12,ROK,로크웰 오토메이션,17.72,29.89
12,GPN,글로벌 페이먼츠,17.87,30.11
12,IR,잉가솔랜드,19.22,34.63
12,VMC,벌칸 머티리얼스,19.19,31.75
12,DRI,다든 레스토랑,16.3,32.41
12,IPG,인터퍼블릭 그룹 오브 컴퍼니스,16.09,31.89
12,HPE,휴렛패커드 엔터프라이즈,15.22,34.63
12,NTAP.O,넷앱,14.89,33.26
12,CRL,찰스 리버 래보라토리스 인터내셔널,20.16,31.28
12,PFG.O,프린시펄 파이낸셜 그룹,14.37,31.69
12,LKQ.O,LKQ,16.04,31.86
12,APTV.K,앱티브,18.89,36.43
12,CTVA.K,코르테바,20.33,34.9
12,FITB.O,피프스 서드 뱅코프,15.1,34.54
12,GEN.O,젠 디지털,15.64,31.21
12,CE,셀라니즈 코퍼레이션,18.82,33.07
12,COO.O,쿠퍼 컴퍼니스,15.13,33.23
12,KMX,카맥스,18.24,35.79
12,TRMB.O,트림블,16.4,34.06
12,TXT,텍스트론,18.81,33.53
13,BRKb,버크셔 해서웨이 Class B,14.86,19.08
13,AON,에이온,19.14,22.08
13,CMCSA.O,컴캐스트,14.32,24.14
13,ABT,애보트 래보라토리,14.01,21.68
13,LMT,록히드 마틴,17.27,20.92
13,SYK,스트라이커,17.36,24.3
13,AMGN.O,암젠,17.32,24.06
13,WM,웨이스트 매니지먼트,15.52,18.66
13,CB,처브,14.76,22.2
13,ROP.O,로퍼 테크놀로지스,20.39,22.48
13,ADP.O,오토매틱 데이터 프로세싱,17.66,21.98
13,RSG,리퍼블릭 서비스,15.84,18.77
13,MMC,마쉬 앤 맥레넌 컴퍼니,19.5,19.74
13,AMT,아메리칸 타워,14.74,24.03
13,AJG,아서 J 갤러거 앤 코,21.12,20.35
13,ALL,올스테이트,16.24,23.11
13,GD,제너럴 다이내믹스,14.38,21.79
13,ICE,인터컨티넨털 익스체인지,17.95,23.07
13,COR,센코라,18.41,24.43
13,APD,에어 프로덕츠 앤 케미컬스,13.65,24.05
13,TRV,트래블러스 컴퍼니스,13.46,22.25
13,VRSK.O,베리스크 애널리틱스,20.13,21.87
13,YUM,염 브랜즈,14.25,23.69
13,ITW,일리노이 툴 웍스,16.13,22.94
13,ECL,이콜랩,15.37,23.46
13,PAYX.O,페이첵스,14.55,22.35
13,CHD,처치 & 드와이트,16.11,19.79
13,EG,에베레스트 그룹,15.77,24.23
13,BRO,브라운 & 브라운,20.68,21.82
13,AWK,아메리칸 워터 웍스,17.01,21.4
13,WRB,W. R. 버클리,17.24,22.0
13,NI,나이소스,14.87,22.0
13,ATO,애트모스 에너지,13.49,20.54
13,IEX,아이덱스,17.95,23.22
13,JKHY.O,잭 헨리 & 어소시에이츠,17.52,21.87
14,JPM,제이피모간체이스,17.08,27.46
14,GS,골드만삭스,13.92,28.09
14,SBUX.O,스타벅스,17.39,26.58
14,NSC,노퍽서던,15.47,26.85
14,ORCL.K,오라클,17.53,26.65
14,UNP,유니온 퍼시픽,17.94,24.67
14,CAT,캐터필러,17.41,28.61
14,NKE,나이키,14.95,27.88
14,GILD.O,길리어드 사이언스,15.36,27.42
14,DE,디어 앤 코,18.84,27.73
14,AXP,아메리칸 익스프레스,17.88,28.57
14,LHX,L3 해리스 테크놀러지,16.13,24.88
14,BLK,블랙록,17.17,27.43
14,PLD,프로로지스,16.13,26.67
14,FDX,페덱스,15.37,29.62
14,CSX.O,CSX,17.77,27.36
14,JCI,존슨 컨트롤스 인터내셔널,14.12,25.32
14,DOV,도버,17.89,26.35
14,CME.O,CME 그룹,14.13,24.43
14,VRSN.O,베리사인,18.42,26.03
14,A,애질런트 테크놀로지스,19.14,28.45
14,FAST.O,패스널,16.67,26.44
14,PPG,PPG 인더스트리스,13.82,25.39
14,SBAC.O,SBA 커뮤니케이션스,17.26,25.17
14,GRMN.K,가민,14.44,26.41
14,DG,달러 제너럴,14.81,26.97
14,TEL,TE 커넥티비티,17.77,26.09
14,RVTY.K,레비티,17.72,27.47
14,CMI,커민스,14.98,28.5
14,LDOS.K,레이도스 홀딩스,15.16,26.77
14,PNR,펜테어,14.85,28.49
14,XYL,자일럼,18.68,26.27
14,ALLE.K,얼리지언,13.93,26.02
14,EMN,이스트만 케미컬,14.46,29.92
14,KR,크로거,16.43,26.03
14,JBHT.O,J.B 헌트 운송 서비스,15.88,25.91
