,Return,Std Dev,Symbol(Name)
NVDA.O,60.89,45.06,NVDA.O (엔비디아)
TSLA.O,69.65,56.38,TSLA.O (테슬라)
MSFT.O,26.55,25.71,MSFT.O (마이크로소프트)
AAPL.O,52.39,87.15,AAPL.O (애플)
AMD.O,43.72,56.0,AMD.O (어드밴스드 마이크로 디바이시스(AMD))
GOOGL.O,25.21,27.21,GOOGL.O (알파벳 Class A)
META.O,32.86,40.08,META.O (메타 플랫폼스)
AMZN.O,34.42,32.53,AMZN.O (아마존닷컴)
GOOG.O,23.63,27.96,GOOG.O (알파벳 Class C)
MMM,6.1,23.79,MMM (쓰리엠 (3M))
DXCM.O,33.18,51.89,DXCM.O (덱스컴)
LLY,28.62,24.75,LLY (일라이 릴리)
AVGO.O,40.76,34.86,AVGO.O (브로드컴)
SMCI.O,54.22,55.99,SMCI.O (슈퍼 마이크로 컴퓨터)
CRWD.O,58.27,58.62,CRWD.O (크라우드 스트라이크 홀딩스)
BAC,13.66,33.57,BAC (뱅크오브아메리카)
MU.O,33.28,46.34,MU.O (마이크론 테크놀로지)
NOW,45.15,40.82,NOW (서비스나우)
NFLX.O,46.43,49.84,NFLX.O (넷플릭스)
UNH,27.09,25.09,UNH (유나이티드헬스 그룹)
V,23.88,24.77,V (비자)
BMY,7.79,23.13,BMY (브리스톨-마이어스 스큅)
CHTR.O,22.26,29.7,CHTR.O (차터 커뮤니케이션)
JPM,17.08,27.46,JPM (제이피모간체이스)
TMO,23.09,24.55,TMO (써모 피셔 사이언티픽)
CRM,26.77,36.11,CRM (세일즈포스)
HON.O,-1.71,20.32,HON.O (허니웰 인터내셔널)
JNJ,8.68,16.85,JNJ (존슨앤드존슨)
XOM,8.42,25.29,XOM (엑슨 모빌)
ABBV.K,19.4,26.35,ABBV.K (애브비)
GE,8.3,32.18,GE (제너럴 일렉트릭)
CMG,29.92,34.28,CMG (치폴레 멕시칸 그릴)
INTC.O,8.11,30.6,INTC.O (인텔)
DECK.K,34.78,42.41,DECK.K (덱커 아웃도어)
BRKb,14.86,19.08,BRKb (버크셔 해서웨이 Class B)
QCOM.O,18.82,33.02,QCOM.O (퀄컴)
COST.O,24.01,20.35,COST.O (코스트코 홀세일)
BA,14.95,35.82,BA (보잉)
WMT,7.56,26.1,WMT (월마트)
ADBE.O,30.03,31.88,ADBE.O (어도비)
UBER.K,25.49,54.15,UBER.K (우버 테크놀로지스)
GS,13.92,28.09,GS (골드만삭스)
PFE,7.86,21.8,PFE (화이자)
TXN.O,20.3,26.7,TXN.O (텍사스 인스트루먼트)
AMAT.O,30.35,36.18,AMAT.O (어플라이드 머티어리얼즈)
LRCX.O,38.32,37.96,LRCX.O (램 리서치)
LULU.O,30.08,40.19,LULU.O (룰루레몬 애슬레티카)
DIS,10.88,26.08,DIS (월트 디즈니)
MCD,11.49,18.64,MCD (맥도날드)
PEP.O,8.95,17.27,PEP.O (펩시코)
AON,19.14,22.08,AON (에이온)
CMCSA.O,14.32,24.14,CMCSA.O (컴캐스트)
ADI.O,20.45,28.81,ADI.O (애널로그 디바이시스)
PG,8.98,17.2,PG (프록터 & 갬블)
UPS,8.43,23.22,UPS (유나이티드 파셀 서비스)
ETN,21.26,27.9,ETN (이튼)
SBUX.O,17.39,26.58,SBUX.O (스타벅스)
ABT,14.01,21.68,ABT (애보트 래보라토리)
KO,8.44,17.05,KO (코카콜라)
MA,28.37,27.17,MA (마스터카드)
F,6.23,33.87,F (포드 모터)
CVS,8.39,24.35,CVS (CVS 헬스)
HD,23.0,23.22,HD (홈디포)
EW,20.97,33.11,EW (에드워즈 라이프사이언시스)
BKNG.O,29.35,32.43,BKNG.O (부킹 홀딩스)
RTX,26.18,29.22,RTX (RTX)
CVX,9.68,27.04,CVX (셰브론)
IBM,5.52,22.37,IBM (인터내셔날 비지니스 머신)
KLAC.O,36.19,35.27,KLAC.O (KLA)
MRK,11.47,20.48,MRK (머크 앤 코)
GM,7.96,34.09,GM (제너럴 모터스)
ACN,19.63,24.21,ACN (액센추어)
DHR,20.46,22.95,DHR (다나허)
CSCO.O,9.05,25.93,CSCO.O (시스코 시스템즈)
APH,23.25,24.49,APH (암페놀)
ELV,8.42,23.93,ELV (엘레반스 헬스)
WFC,10.57,29.49,WFC (웰스파고)
ANET.K,49.54,43.48,ANET.K (아리스타 네트웍스)
SCHW.K,17.75,32.95,SCHW.K (찰스 슈왑)
NSC,15.47,26.85,NSC (노퍽서던)
URI,50.35,44.53,URI (유나이티드 렌탈스)
ORCL.K,17.53,26.65,ORCL.K (오라클)
ABNB.O,12.23,49.96,ABNB.O (에어비앤비)
CL,8.18,17.95,CL (콜게이트-팜올리브)
CNC,28.56,35.81,CNC (센틴)
MS,17.17,33.72,MS (모간스탠리)
UNP,17.94,24.67,UNP (유니온 퍼시픽)
CDNS.O,36.39,29.98,CDNS.O (케이던스 디자인 시스템즈)
SHW,24.62,24.82,SHW (셔윈-윌리엄즈)
CAT,17.41,28.61,CAT (캐터필러)
PYPL.O,13.17,38.07,PYPL.O (페이팔 홀딩스)
NKE,14.95,27.88,NKE (나이키)
