,Return,Std Dev,Symbol(Name)
007070,5.56,34.51,007070 (GS리테일)
000120,10.85,35.84,000120 (CJ대한통운)
465680,4.29,0.59,465680 (KODEX 24-12 은행채(AA+이상)액티브)
008930,22.67,51.83,008930 (한미사이언스)
018880,11.33,39.79,018880 (한온시스템)
012750,4.62,26.85,012750 (에스원)
002790,11.96,39.96,002790 (아모레G)
383220,-4.35,44.01,383220 (F&F)
028670,-11.78,52.73,028670 (팬오션)
030000,7.7,32.21,030000 (제일기획)
282330,-1.45,36.75,282330 (BGF리테일)
278470,-17.68,74.79,278470 (에이피알)
102110,6.93,17.77,102110 (TIGER 200)
000990,28.48,51.45,000990 (DB하이텍)
051600,6.98,36.61,051600 (한전KPS)
026960,9.05,28.92,026960 (동서)
008770,13.17,37.5,008770 (호텔신라)
009420,34.59,55.99,009420 (한올바이오파마)
481050,3.66,0.13,481050 (KODEX 1년은행양도성예금증서+액티브(합성))
455890,4.37,0.23,455890 (RISE 머니마켓액티브)
006280,10.36,40.22,006280 (녹십자)
139480,-4.61,32.28,139480 (이마트)
014680,27.8,37.73,014680 (한솔케미칼)
007310,12.81,30.98,007310 (오뚜기)
012510,25.58,49.29,012510 (더존비즈온)
023530,-6.16,32.62,023530 (롯데쇼핑)
111770,17.6,39.72,111770 (영원무역)
020150,23.22,52.13,020150 (롯데에너지머티리얼즈)
204320,8.61,43.39,204320 (HL만도)
017800,16.13,50.22,017800 (현대엘리베이)
006360,-2.57,41.63,006360 (GS건설)
047040,-1.02,38.34,047040 (대우건설)
005850,26.8,45.4,005850 (에스엘)
470260,4.75,0.33,470260 (TIGER 24-12 금융채(AA-이상))
018670,15.12,31.71,018670 (SK가스)
137310,-30.92,54.83,137310 (에스디바이오센서)
379800,18.03,14.51,379800 (KODEX 미국S&P500TR)
103140,15.28,38.98,103140 (풍산)
185750,18.6,43.9,185750 (종근당)
280360,2.02,29.48,280360 (롯데웰푸드)
000240,9.42,38.22,000240 (한국앤컴퍼니)
051915,14.42,38.12,051915 (LG화학우)
000080,0.17,29.62,000080 (하이트진로)
371460,-6.8,32.87,371460 (TIGER 차이나전기차SOLACTIVE)
161890,17.83,40.84,161890 (한국콜마)
453850,-4.42,15.86,453850 (ACE 미국30년국채액티브(H))
010060,5.97,48.05,010060 (OCI홀딩스)
042670,6.91,47.74,042670 (HD현대인프라코어)
004170,0.19,35.4,004170 (신세계)
294870,-9.32,43.52,294870 (HDC현대산업개발)
233740,13.9,53.39,233740 (KODEX 코스닥150레버리지)
003690,5.42,27.24,003690 (코리안리)
069620,18.52,45.82,069620 (대웅제약)
214980,1.83,0.19,214980 (KODEX 단기채권PLUS)
192820,19.64,47.93,192820 (코스맥스)
011210,7.09,43.21,011210 (현대위아)
395400,-1.49,22.04,395400 (SK리츠)
073240,5.31,46.79,073240 (금호타이어)
082640,2.22,34.22,082640 (동양생명)
139130,-1.34,28.92,139130 (DGB금융지주)
003090,25.57,48.32,003090 (대웅)
005300,8.34,29.66,005300 (롯데칠성)
009410,5.71,36.19,009410 (태영건설)
298050,22.93,46.6,298050 (효성첨단소재)
385540,1.93,4.34,385540 (RISE 종합채권(A-이상)액티브)
062040,-96.01,106.9,062040 (산일전기)
102780,7.39,19.03,102780 (KODEX 삼성그룹)
298020,14.27,46.21,298020 (효성티앤씨)
004490,16.46,36.68,004490 (세방전지)
014820,17.97,45.92,014820 (동원시스템즈)
336260,59.68,65.78,336260 (두산퓨얼셀)
001720,6.79,18.47,001720 (신영증권)
252670,-12.5,36.36,252670 (KODEX 200선물인버스2X)
009240,21.81,42.98,009240 (한샘)
375500,-13.45,34.4,375500 (DL이앤씨)
148020,6.89,16.63,148020 (RISE 200)
310970,9.79,19.8,310970 (TIGER MSCI Korea TR)
458730,20.19,11.35,458730 (TIGER 미국배당다우존스)
360200,19.58,14.75,360200 (ACE 미국S&P500)
315930,14.99,22.12,315930 (KODEX Top5PlusTR)
457190,185.51,111.01,457190 (이수스페셜티케미컬)
003620,-9.66,42.38,003620 (KG모빌리티)
004000,5.82,35.59,004000 (롯데정밀화학)
108320,18.3,45.59,108320 (LX세미콘)
001120,7.94,39.85,001120 (LX인터내셔널)
006040,6.45,29.5,006040 (동원산업)
379810,19.91,20.17,379810 (KODEX 미국나스닥100TR)
089860,-15.47,25.66,089860 (롯데렌탈)
103590,18.84,47.69,103590 (일진전기)
082740,12.07,48.77,082740 (한화엔진)
365550,3.18,24.93,365550 (ESR켄달스퀘어리츠)
305720,16.51,35.5,305720 (KODEX 2차전지산업)
292150,7.68,21.74,292150 (TIGER TOP10)
069960,-1.3,31.38,069960 (현대백화점)
476810,5.37,0.87,476810 (KODEX 25-11 은행채(AA-이상)PLUS액티브)
009970,11.58,32.04,009970 (영원무역홀딩스)
610063,3.79,0.25,610063 (메리츠 KIS CD금리투자 ETN)
267270,15.28,53.45,267270 (HD현대건설기계)
353200,35.11,49.56,353200 (대덕전자)
305540,19.98,36.6,305540 (TIGER 2차전지테마)
475630,3.73,0.14,475630 (TIGER CD1년금리액티브(합성))
034230,17.73,42.94,034230 (파라다이스)
001740,-0.32,34.21,001740 (SK네트웍스)
300720,11.72,40.08,300720 (한일시멘트)
001800,6.11,31.89,001800 (오리온홀딩스)
330590,-7.44,19.17,330590 (롯데리츠)
079160,2.68,40.7,079160 (CJ CGV)
120110,6.51,39.27,120110 (코오롱인더)
192080,5.8,38.87,192080 (더블유게임즈)
