,Return,Std Dev,Symbol(Name)
AAPL.O,53.17,87.26,AAPL.O (애플)
MSFT.O,27.21,25.7,MSFT.O (마이크로소프트)
AMZN.O,35.13,32.55,AMZN.O (아마존닷컴)
JPM,16.83,27.46,JPM (제이피모간체이스)
INTC.O,8.85,30.58,INTC.O (인텔)
UNH,26.18,25.03,UNH (유나이티드헬스 그룹)
V,24.15,24.76,V (비자)
HD,23.07,23.22,HD (홈디포)
GS,13.63,28.09,GS (골드만삭스)
CRM,26.54,36.13,CRM (세일즈포스)
MCD,11.57,18.64,MCD (맥도날드)
NKE,15.08,27.87,NKE (나이키)
CVX,9.59,27.05,CVX (셰브론)
CSCO.O,8.99,25.95,CSCO.O (시스코 시스템즈)
BA,14.76,35.81,BA (보잉)
MRK,11.65,20.49,MRK (머크 앤 코)
IBM,5.17,22.36,IBM (인터내셔날 비지니스 머신)
WMT,7.52,26.13,WMT (월마트)
CAT,17.08,28.59,CAT (캐터필러)
JNJ,8.16,16.81,JNJ (존슨앤드존슨)
PG,8.89,17.2,PG (프록터 & 갬블)
AMGN.O,17.27,24.08,AMGN.O (암젠)
DIS,11.51,26.09,DIS (월트 디즈니)
AXP,17.67,28.58,AXP (아메리칸 익스프레스)
KO,8.07,17.06,KO (코카콜라)
VZ,4.96,18.52,VZ (버라이존 커뮤니케이션스)
HON.O,0.05,20.16,HON.O (허니웰 인터내셔널)
MMM,4.44,23.02,MMM (쓰리엠 (3M))
TRV,13.38,22.16,TRV (트래블러스 컴퍼니스)
DOW,8.19,36.54,DOW (다우)
