ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
LTPZ.K,PIMCO 15+ Year US TIPS Index Exchange-Traded Fund,100,5,60,14,49.0,54.0,1.0,10.0,-0.0036106539488411915
SCHO.K,Schwab Short Term US Treasury ETF,104,5,120,14,44.0,54.0,1.0,10.0,-0.004154377445662605
GOVT.K,iShares US Treasury Bond ETF,105,5,120,14,44.0,54.0,1.0,10.0,-0.004647520037901476
TLT.O,iShares 20+ Year Treasury Bond ETF,100,5,60,14,49.0,54.0,1.0,10.0,-0.00458815270445645
FTSD.K,Franklin Short Duration US Government ETF,104,5,120,14,44.0,54.0,1.0,10.0,-0.004960569905664847
TDTF.K,FlexShares iBoxx 5-Year Target Duration TIPS Index,105,5,120,14,44.0,54.0,1.0,10.0,-0.005606257983859719
EUM,ProShares Short MSCI Emerging Markets,115,5,60,14,44.0,54.0,1.0,10.0,-0.029698906325254293
LDEM.O,iShares ESG MSCI EM Leaders ETF,107,5,120,14,49.0,54.0,1.0,10.0,-0.012825522883250118
IBTF.O,iShares iBonds Dec 2025 Term Treasury ETF,113,5,60,14,39.0,69.0,1.0,10.0,-0.014301404391605987
BNDX.O,Vanguard Total International Bond Index Fund;ETF,105,5,120,14,44.0,54.0,1.0,10.0,-0.021088906698746857
GNMA.O,iShares GNMA Bond ETF,105,5,120,14,44.0,54.0,1.0,10.0,-0.0241982231515796
ALTY.O,Global X Alternative Income ETF,107,5,120,14,49.0,54.0,1.0,10.0,-0.02548468046569352
ALTL.K,Pacer Lunt Large Cap Alternator ETF,62,5,60,14,49.0,54.0,1.0,10.0,-0.03202900734914205
VGLT.O,Vanguard Long-Term Treasury Index Fund;ETF,100,5,60,14,49.0,54.0,1.0,10.0,-0.03843014834948977
SPTL.K,SPDR Portfolio Long Term Treasury ETF,100,5,60,14,49.0,54.0,1.0,10.0,-0.038654054633463164
KBWD.O,Invesco KBW High Dividend Yield Financial ETF,107,5,120,14,49.0,54.0,1.0,10.0,-0.043237371877447695
UST,ProShares Ultra 7-10 Year Treasury,100,5,60,14,49.0,54.0,1.0,10.0,-0.002800871816336148
UFO.O,Procure Space ETF,103,5,120,14,44.0,54.0,1.0,10.0,-0.04537114682977261
BLDG.K,Cambria Global Real Estate ETF,95,5,60,14,44.0,54.0,1.0,10.0,-0.04586439861011815
KBA,KraneShares Bosera MSCI China A 50 Connect Idx ETF,103,5,120,14,44.0,54.0,1.0,10.0,-0.052134425601444545
