Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
13,570092,한투 인버스 2X 유로스탁스50 ETN(H) B,14505.0,604.84,32.39,14908.0,13189.88,5,120,14,34,64,1.0,10.0,-16.41,26.35
11,570091,한투 인버스 유로스탁스50 ETN(H) C,8820.0,114.11,35.63,8929.0,8345.92,5,120,14,44,64,1.0,10.0,-7.1,13.15
11,500007,신한 인버스 은 선물 ETN(H),3980.0,1.31,40.1,4012.0,4001.79,5,120,14,44,64,1.0,10.0,-5.9,28.27
11,610037,메리츠 미국채30년 ETN(H),8100.0,1.02,43.95,8238.0,7788.08,5,120,14,44,64,1.0,10.0,-6.88,17.32
11,610023,메리츠 레버리지 미국채10년 ETN(H),6455.0,-6.85,40.7,6566.0,6129.21,5,120,14,44,64,1.0,10.0,-14.01,18.08
11,610015,메리츠 인버스 은 선물 ETN(H),8680.0,-10.98,39.78,8713.0,8679.08,5,120,14,44,64,1.0,10.0,-1.39,29.73
11,500010,신한 인버스 다우존스지수 선물 ETN(H),3735.0,-11.3,39.81,3762.0,3698.5,5,120,14,44,64,1.0,10.0,-9.14,17.31
11,530090,삼성 인버스 은 선물 ETN(H),8585.0,-11.64,39.58,8628.0,8618.38,5,120,14,44,64,1.0,10.0,-2.59,29.19
11,610004,메리츠 미국레버리지 인플레이션국채ETN(H),7210.0,-13.01,41.89,7232.0,6927.12,5,120,14,44,64,1.0,10.0,-8.03,18.07
7,570074,한투 S&P 유럽탄소배출권 선물 ETN(H),10750.0,-15.01,43.5,10688.0,10196.17,5,120,14,44,64,1.0,10.0,12.53,43.94
13,570023,한투 인버스 2X S&P500 선물 ETN(H),1328.0,-15.14,33.48,1366.2,1323.48,5,120,14,34,64,1.0,10.0,-20.41,38.23
7,610030,메리츠 S&P 유럽탄소배출권 선물 ETN(H),10810.0,-15.41,43.4,10783.0,10230.0,5,120,14,44,64,1.0,10.0,12.52,43.4
11,570064,한투 인버스 베트남 VN30 선물 ETN(H),9920.0,-26.38,41.6,9978.0,9775.46,5,120,14,44,64,1.0,10.0,2.19,22.02
11,500061,신한 인버스 코스피 200 선물 ETN,10840.0,-99.45,43.12,11079.0,10329.67,5,120,14,44,64,1.0,10.0,5.2,18.5
11,530092,삼성 인버스 코스피 200 선물 ETN,10760.0,-99.61,43.01,11016.0,10295.0,5,120,14,44,64,1.0,10.0,5.01,18.57
11,520038,미래에셋 인버스 코스피200 선물 ETN,10805.0,-99.62,43.49,11053.0,10345.71,5,120,14,44,64,1.0,10.0,5.03,18.65
15,550081,N2 S&P500 VIX S/T 선물 ETN D,6455.0,-99.98,14.52,7049.0,5238.71,5,120,14,34,64,1.0,10.0,-41.74,63.63
15,510025,대신 S&P500 VIX S/T 선물 ETN,3815.0,-99.98,12.08,4160.0,3097.96,5,120,14,34,64,1.0,10.0,-50.61,62.16
15,570088,한투 S&P500 VIX S/T 선물 ETN(H),5840.0,-99.98,11.87,6377.0,4750.58,5,120,14,34,64,1.0,10.0,-49.0,58.52
15,530109,삼성 S&P500 VIX S/T 선물 ETN,6450.0,-99.98,14.29,7038.0,5238.83,5,120,14,34,64,1.0,10.0,-41.63,64.26
15,500076,신한 S&P500 VIX S/T 선물 ETN D,6470.0,-99.99,14.5,7057.0,5245.79,5,120,14,34,64,1.0,10.0,-41.78,64.07
