,Return,Std Dev,Symbol(Name)
MPC,27.89,39.74,MPC (매러선 페트롤리엄)
MMM,5.91,23.78,MMM (쓰리엠 (3M))
LOW,23.49,27.59,LOW (로우스 컴퍼니)
NEE,36.25,85.21,NEE (넥스트에라 에너지)
MDLZ.O,11.82,19.98,MDLZ.O (몬덜리즈 인터내셔널)
PODD.O,29.45,41.04,PODD.O (인슐릿)
EOG,14.35,37.87,EOG (EOG 리소시스)
EA.O,23.53,31.75,EA.O (일렉트로닉 아츠)
EW,21.23,33.1,EW (에드워즈 라이프사이언시스)
UNP,17.79,24.66,UNP (유니온 퍼시픽)
CCL,6.66,48.47,CCL (카니발)
ADP.O,17.92,21.97,ADP.O (오토매틱 데이터 프로세싱)
PGR,21.88,22.44,PGR (프로그레시브)
FCX,14.89,49.7,FCX (프리포트 맥모란)
FICO.K,43.29,34.03,FICO.K (페어 아이작)
EMR,9.61,26.42,EMR (에머슨 일렉트릭)
HON.O,-2.35,20.25,HON.O (허니웰 인터내셔널)
CL,8.36,17.96,CL (콜게이트-팜올리브)
VRTX.O,31.36,43.87,VRTX.O (버텍스 파마슈티컬)
AXON.O,34.57,43.32,AXON.O (액손 엔터프라이스)
MPWR.O,41.86,40.49,MPWR.O (모놀리식 파워 시스템즈)
TT,37.38,31.67,TT (트레인 테크놀로지)
MLM,19.1,30.58,MLM (마틴 마리에타 머터리얼스)
SBUX.O,17.47,26.59,SBUX.O (스타벅스)
ELV,8.72,23.8,ELV (엘레반스 헬스)
ZTS,20.51,25.47,ZTS (조에티스)
FDX,14.69,29.61,FDX (페덱스)
SO,8.72,19.53,SO (서던)
APD,14.16,24.15,APD (에어 프로덕츠 앤 케미컬스)
MS,16.36,33.74,MS (모간스탠리)
CI,23.12,28.49,CI (시그나)
APH,23.04,24.57,APH (암페놀)
DAL,22.35,39.02,DAL (델타 에어라인스)
HES,16.01,40.62,HES (헤스)
EL,12.56,29.66,EL (에스티 로더)
LULU.O,29.46,40.19,LULU.O (룰루레몬 애슬레티카)
ON.O,30.59,44.79,ON.O (온 세미콘덕터)
GD,14.41,21.79,GD (제너럴 다이내믹스)
MCO,29.01,28.19,MCO (무디스)
EQIX.O,23.29,29.16,EQIX.O (이퀴닉스)
COR,18.73,24.44,COR (센코라)
NRG,16.34,35.22,NRG (NRG 에너지)
SPGI.K,25.88,25.31,SPGI.K (S&P 글로벌)
ULTA.O,29.29,37.93,ULTA.O (울타 뷰티)
EFX,21.61,26.8,EFX (에퀴팩스)
AEP.O,6.39,20.27,AEP.O (아메리칸 일렉트릭 파워 컴퍼니)
BSX,23.82,28.15,BSX (보스턴 사이언티픽)
K,4.76,20.22,K (켈라노바)
AME,19.8,24.51,AME (아메텍)
WBD.O,-32.14,54.53,WBD.O (워너 브로스 디스커버리)
CHTR.O,22.13,29.69,CHTR.O (차터 커뮤니케이션)
KMI,1.42,29.18,KMI (킨더 모건)
DVN,8.48,45.7,DVN (데번 에너지)
PSX,18.21,33.47,PSX (필립스 66)
DXCM.O,33.96,51.93,DXCM.O (덱스컴)
MO,8.57,20.65,MO (알트리아그룹)
LEN,27.32,36.7,LEN (레나 Class A)
USB,8.12,27.65,USB (U.S. 뱅코프)
CSX.O,17.65,27.36,CSX.O (CSX)
SCHW.K,17.16,32.92,SCHW.K (찰스 슈왑)
MAR.O,20.74,30.73,MAR.O (메리어트 인터내셔널)
NXPI.O,33.76,42.24,NXPI.O (NXP 세미콘덕터)
WMB,15.61,38.11,WMB (윌리엄스 컴퍼니즈)
SYK,17.23,24.32,SYK (스트라이커)
TFC,7.81,30.82,TFC (트루이스트 파이낸셜)
ENPH.O,70.84,80.33,ENPH.O (인페이즈 에너지)
CB,14.73,22.18,CB (처브)
WELL.K,11.95,29.02,WELL.K (웰타워)
