,Return,Std Dev,Symbol(Name)
MSFT.O,27.52,25.71,MSFT.O (마이크로소프트)
AAPL.O,53.05,87.32,AAPL.O (애플)
NVDA.O,62.28,45.01,NVDA.O (엔비디아)
AMZN.O,35.45,32.56,AMZN.O (아마존닷컴)
META.O,34.6,40.06,META.O (메타 플랫폼스)
GOOGL.O,26.49,27.19,GOOGL.O (알파벳 Class A)
GOOG.O,25.3,27.94,GOOG.O (알파벳 Class C)
AVGO.O,42.91,34.71,AVGO.O (브로드컴)
TSLA.O,71.46,56.3,TSLA.O (테슬라)
ASML.O,36.26,34.3,ASML.O (ASML 홀딩 ADR)
COST.O,24.82,20.33,COST.O (코스트코 홀세일)
NFLX.O,47.59,49.92,NFLX.O (넷플릭스)
AMD.O,45.93,55.98,AMD.O (어드밴스드 마이크로 디바이시스(AMD))
ADBE.O,30.76,31.92,ADBE.O (어도비)
AZN.O,12.31,23.9,AZN.O (아스트라제네카 ADR)
QCOM.O,19.95,32.89,QCOM.O (퀄컴)
PEP.O,8.6,17.25,PEP.O (펩시코)
TMUS.O,28.51,34.39,TMUS.O (T-모바일 US)
LIN.O,22.47,25.71,LIN.O (린드)
AMAT.O,31.87,36.01,AMAT.O (어플라이드 머티어리얼즈)
PDD.O,72.09,74.78,PDD.O (핀둬둬 ADR)
CSCO.O,8.88,25.96,CSCO.O (시스코 시스템즈)
INTU.O,28.29,29.08,INTU.O (인튜이트)
TXN.O,20.23,26.68,TXN.O (텍사스 인스트루먼트)
ARM.O,427.5,90.19,ARM.O (암 홀딩스 ADR)
AMGN.O,16.78,24.09,AMGN.O (암젠)
ISRG.O,25.79,31.61,ISRG.O (인튜이티브 서지컬)
MU.O,35.14,46.34,MU.O (마이크론 테크놀로지)
CMCSA.O,13.98,24.13,CMCSA.O (컴캐스트)
LRCX.O,40.57,37.79,LRCX.O (램 리서치)
HON.O,-0.38,20.19,HON.O (허니웰 인터내셔널)
INTC.O,8.26,30.52,INTC.O (인텔)
BKNG.O,30.02,32.44,BKNG.O (부킹 홀딩스)
SNY.O,6.61,23.95,SNY.O (사노피 ADR)
VRTX.O,31.72,43.99,VRTX.O (버텍스 파마슈티컬)
KLAC.O,37.05,35.12,KLAC.O (KLA)
ADI.O,20.67,28.75,ADI.O (애널로그 디바이시스)
REGN.O,40.25,37.35,REGN.O (리제네론 파마슈티컬스)
