Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
138,TSL.O,GraniteShares 1.25x Long TSLA Daily ETF,8.84,383.23,36.45,9.41,7.51,5,120,14,39,64,1.0,10.0,-19.97,74.87
102,SPAX.K,Robinson Alternative Yield Pre-Merger SPAC ETF,20.405,319.48,38.63,20.39,20.36,5,120,14,39,54,1.0,10.0,0.98,9.11
156,EVAV.K,Direxion Daily Electric & Autonms Vhcls Bl 2X Shs,19.2254,144.84,28.73,19.59,18.07,5,60,14,29,54,1.0,10.0,-58.14,92.46
87,RFG,Invesco S&P MidCap 400 Pure Growth ETF,49.57,44.89,28.98,49.35,48.42,5,120,14,39,54,1.0,10.0,6.99,30.37
23,URTY.K,ProShares UltraPro Russell2000,57.06,44.85,47.69,54.87,45.22,5,120,14,49,54,1.0,10.0,40.61,66.04
73,XLG,Invesco S&P 500 Top 50 ETF,45.02,40.44,27.04,45.47,44.7,5,60,14,29,54,1.0,10.0,7.72,29.45
73,PSCH.O,Invesco S&P SmallCap Health Care ETF,46.6,37.49,26.15,46.16,43.21,5,60,14,29,54,1.0,10.0,11.01,28.41
74,PEY.O,Invesco High Yield Equity Dividend Achvrs ETF,21.54,37.19,48.74,21.13,20.12,5,60,14,49,54,1.0,10.0,8.91,17.47
105,MARB.K,First Trust Merger Arbitrage ETF,19.9901,32.47,41.89,19.92,19.7,5,120,14,44,54,1.0,10.0,0.14,5.97
47,PSI,Invesco Semiconductors ETF,56.88,31.47,43.88,58.64,57.29,5,120,14,49,54,1.0,10.0,19.43,34.34
64,RSPT.K,Invesco S&P 500 Eql Wght Technology ETF,36.31,29.89,27.89,36.44,35.04,5,120,14,34,54,1.0,10.0,11.36,32.21
73,RPG,Invesco S&P 500 Pure Growth ETF,36.17,28.38,27.29,36.51,36.47,5,60,14,29,54,1.0,10.0,8.64,29.54
64,PTH.O,Invesco Dorsey Wright Healthcare Momentum ETF,45.29,24.04,30.65,45.23,43.0,5,120,14,34,54,1.0,10.0,11.48,30.66
29,TNA,Direxion Daily Small Cap Bull 3x Shares,48.46,23.91,47.74,46.57,38.94,5,60,14,49,64,1.0,10.0,39.02,65.33
90,BMVP.K,Invesco Bloomberg MVP Multi-Factor ETF,45.4373,22.39,31.63,45.07,43.85,5,120,14,39,54,1.0,10.0,6.57,25.83
88,RSPU.K,Invesco S&P 500 Eql Wght Utilities ETF,60.95,22.1,34.07,60.45,59.64,5,60,14,39,54,1.0,10.0,5.06,22.1
87,PRF,Invesco FTSE RAFI US 1000 ETF,39.3,21.37,26.5,38.99,37.63,5,120,14,39,54,1.0,10.0,6.03,27.39
87,PRFZ.O,Invesco FTSE RAFI US 1500 Small Mid ETF,41.78,20.72,27.91,41.21,38.26,5,120,14,39,54,1.0,10.0,6.75,30.25
73,RSPH.K,Invesco S&P 500 Eql Wght Health Care ETF,31.12,19.58,22.5,30.95,30.4,5,60,14,29,54,1.0,10.0,7.72,29.47
76,CDC.O,VictoryShares US EQ Income Enh Vol Wtd Idx ETF,61.64,18.16,48.62,61.01,59.28,5,60,14,49,54,1.0,10.0,6.72,13.21
76,LBAY.K,Leatherback Long/Short Alternative Yield ETF,27.0662,17.31,48.66,26.62,26.42,5,60,14,49,54,1.0,10.0,9.46,13.08
100,RYLG.K,Global X Russell 2000 Covered Call & Growth ETF,26.2099,16.01,47.44,25.98,25.15,5,60,14,49,54,1.0,10.0,1.04,15.82
80,PSCC.O,Invesco S&P SmallCap Consumer Staples ETF,37.8844,13.4,26.45,37.13,36.13,5,60,14,39,54,1.0,10.0,7.8,25.64
87,RSPM.K,Invesco S&P 500 Eql Wght Materials ETF,35.66,13.15,28.68,35.22,34.91,5,120,14,39,54,1.0,10.0,5.64,30.23
120,TUA,Simplify Short Term Treasury Futures Strategy ETF,21.86,11.41,33.79,21.83,21.43,5,60,14,34,54,1.0,10.0,-6.86,13.19
104,XONE.K,BondBloxx Bloomberg 1 Yr Tgt Duration US Trsy ETF,49.638,9.24,38.84,49.6,49.5,5,120,14,44,54,1.0,10.0,-0.35,1.58
91,RWO,SPDR Dow Jones Global Real Estate ETF,43.57,8.45,47.62,43.54,41.88,5,60,14,49,54,1.0,10.0,3.97,18.43
113,FIAX.K,Nicholas Fixed Income Alternative ETF,19.475,8.41,35.85,19.46,19.31,5,60,14,39,69,1.0,10.0,-1.58,3.55
113,JUCY.K,Aptus Enhanced Yield ETF,23.23,8.18,7.11,23.22,23.22,5,60,14,39,69,1.0,10.0,-4.15,3.72
100,SCHY.K,Schwab International Dividend Equity ETF,24.94,7.67,48.34,24.6,24.27,5,60,14,49,54,1.0,10.0,0.75,13.63
91,DTRE.K,First Trust Alerian Disruptive Technology Real Est,41.13,7.55,44.15,41.21,39.0,5,60,14,49,54,1.0,10.0,4.03,18.47
113,BBIP.K,JPMorgan BetaBuilders US TIPS 0-5 Year ETF,97.2707,6.69,35.15,97.13,96.92,5,60,14,39,69,1.0,10.0,-1.83,3.17
104,XTWO.K,BondBloxx Bloomberg 2 Yr Tgt Duration US Trsy ETF,49.25,6.6,43.95,49.18,48.92,5,120,14,44,54,1.0,10.0,-0.6,2.8
104,BBSB.K,JPMorgan BetaBuilders US Treasury Bond 1-3 Yr ETF,98.404,6.24,35.4,98.28,97.88,5,120,14,44,54,1.0,10.0,-1.03,2.3
100,IDLV.K,Invesco S&P Intl Developed Low Volatility ETF,28.3753,5.35,47.07,28.23,27.91,5,60,14,49,54,1.0,10.0,1.88,13.4
100,HDMV.K,First Trust Horizon Managed Vol Dev Intl ETF,29.5709,3.62,48.86,29.35,29.13,5,60,14,49,54,1.0,10.0,0.82,13.48
33,KOLD.K,ProShares UltraShort Bloomberg Natural Gas,74.98,3.55,40.76,67.61,53.5,5,60,14,44,54,1.0,10.0,36.08,91.74
107,JRE,Janus Henderson US Real Estate ETF,23.7248,3.19,48.76,23.64,21.95,5,120,14,49,54,1.0,10.0,0.27,20.09
81,PSCU.O,Invesco S&P SmallCap Utilities & Comm Svcs,55.48,3.14,42.61,54.33,51.05,5,120,14,44,54,1.0,10.0,7.6,18.06
103,IDX,VanEck Indonesia Index ETF,16.35,2.63,37.81,16.32,16.16,5,120,14,44,54,1.0,10.0,0.34,25.86
62,XHE,SPDR S&P Health Care Equipment ETF,85.37,2.06,45.96,87.31,85.61,5,60,14,49,54,1.0,10.0,11.89,21.17
105,GBF,iShares Government/Credit Bond ETF,103.7998,1.3,43.41,103.46,102.67,5,120,14,44,54,1.0,10.0,-0.16,5.04
105,SCHP.K,Schwab US TIPS ETF,52.28,1.11,42.52,52.16,51.8,5,120,14,44,54,1.0,10.0,0.47,5.78
104,LDUR.K,PIMCO Enhanced Low Duration Active Exchange-Traded,95.23,1.04,42.85,95.15,94.58,5,120,14,44,54,1.0,10.0,-0.43,3.04
92,PILL.K,Direxion Daily Pharmaceutical & Medical Bl 3X Shs,7.84,0.9,39.75,7.46,7.31,5,120,14,44,54,1.0,10.0,4.35,63.76
105,SCHZ.K,Schwab US Aggregate Bond ETF,46.15,0.88,43.4,45.99,45.57,5,120,14,44,54,1.0,10.0,-0.49,4.83
104,TDTT.K,FlexShares iBoxx 3-Year Target Duration TIPS Index,23.65,0.63,42.09,23.6,23.56,5,120,14,44,54,1.0,10.0,-0.36,3.48
104,SPTS.K,SPDR Portfolio Short Term Treasury ETF,29.04,0.63,42.06,29.0,28.84,5,120,14,44,54,1.0,10.0,-0.21,3.13
105,BOND.K,PIMCO Active Bond Exchange-Traded Fund,92.15,0.46,43.92,91.86,90.9,5,120,14,44,54,1.0,10.0,-0.54,4.78
105,TIPX.K,SPDR Bloomberg 1-10 Year TIPS ETF,18.55,0.34,42.81,18.52,18.46,5,120,14,44,54,1.0,10.0,-0.55,4.94
104,VTES.K,Vanguard Short-Term Tax-Exempt Bond ETF,100.45,0.23,43.98,100.46,100.3,5,120,14,44,54,1.0,10.0,0.2,1.87
105,BND.O,Vanguard Total Bond Market Index Fund;ETF,72.94,0.21,43.93,72.69,71.99,5,120,14,44,54,1.0,10.0,-0.63,4.94
104,UTWO.O,US Treasury 2 Year Note ETF,48.185,0.16,36.82,48.12,47.92,5,120,14,44,54,1.0,10.0,-1.65,2.65
105,AGG,iShares Core US Aggregate Bond ETF,98.32,0.15,43.93,98.0,97.04,5,120,14,44,54,1.0,10.0,-0.46,4.82
104,XBIL.O,US Treasury 6 Month Bill ETF,50.105,0.13,39.85,50.07,50.01,5,120,14,44,54,1.0,10.0,0.15,1.48
104,OBIL.O,US Treasury 12 Month Bill ETF,49.965,0.11,40.78,49.93,49.83,5,120,14,44,54,1.0,10.0,-0.15,1.62
105,SPAB.K,SPDR Portfolio Aggregate Bond ETF,25.39,0.02,43.49,25.3,25.06,5,120,14,44,54,1.0,10.0,-0.62,4.98
105,TIP,iShares TIPS Bond ETF,107.4,-0.01,42.48,107.11,106.56,5,120,14,44,54,1.0,10.0,0.29,5.96
105,SPTI.K,SPDR Portfolio Intermediate Term Treasury ETF,28.36,-0.05,42.98,28.26,27.97,5,120,14,44,54,1.0,10.0,-0.2,3.85
104,VGSH.O,Vanguard Short-Term Treasury Index Fund;ETF,58.31,-0.09,43.16,58.23,57.91,5,120,14,44,54,1.0,10.0,-0.26,1.44
104,IBTE.O,iShares iBonds Dec 2024 Term Treasury ETF,23.97,-0.15,39.0,23.96,23.91,5,120,14,44,54,1.0,10.0,-1.15,2.11
104,BILS.K,SPDR Bloomberg 3-12 Month T-Bill ETF,99.4,-0.24,43.16,99.34,99.2,5,120,14,44,54,1.0,10.0,-0.17,0.96
105,SCHR.K,Schwab Intermediate-Term US Treasury ETF,49.37,-0.26,42.31,49.2,48.69,5,120,14,44,54,1.0,10.0,0.01,4.39
105,VGIT.O,Vanguard Intermediate-Term Treasury Index Fd;ETF,58.96,-0.27,42.83,58.76,58.13,5,120,14,44,54,1.0,10.0,-0.24,4.46
100,LTPZ.K,PIMCO 15+ Year US TIPS Index Exchange-Traded Fund,54.68,-0.36,38.29,54.44,54.35,5,60,14,49,54,1.0,10.0,1.29,14.78
104,SCHO.K,Schwab Short Term US Treasury ETF,48.39,-0.42,41.04,48.33,48.07,5,120,14,44,54,1.0,10.0,-0.22,1.38
105,GOVT.K,iShares US Treasury Bond ETF,22.815,-0.46,42.48,22.74,22.54,5,120,14,44,54,1.0,10.0,-0.56,4.79
100,TLT.O,iShares 20+ Year Treasury Bond ETF,92.99,-0.46,39.02,92.39,92.02,5,60,14,49,54,1.0,10.0,0.71,15.3
104,FTSD.K,Franklin Short Duration US Government ETF,90.48,-0.5,43.85,90.37,89.9,5,120,14,44,54,1.0,10.0,-0.93,1.79
105,TDTF.K,FlexShares iBoxx 5-Year Target Duration TIPS Index,23.54,-0.56,41.04,23.48,23.39,5,120,14,44,54,1.0,10.0,-0.39,5.07
115,EUM,ProShares Short MSCI Emerging Markets,13.5606,-0.94,42.72,13.53,13.46,5,60,14,44,54,1.0,10.0,-4.9,21.15
107,LDEM.O,iShares ESG MSCI EM Leaders ETF,45.39,-1.28,48.32,45.29,44.55,5,120,14,49,54,1.0,10.0,-1.01,21.65
113,IBTF.O,iShares iBonds Dec 2025 Term Treasury ETF,23.27,-1.43,36.94,23.25,23.18,5,60,14,39,69,1.0,10.0,-1.85,3.04
105,BNDX.O,Vanguard Total International Bond Index Fund;ETF,49.23,-2.11,42.29,49.08,48.77,5,120,14,44,54,1.0,10.0,-0.1,4.23
105,GNMA.O,iShares GNMA Bond ETF,43.605,-2.42,43.77,43.47,43.03,5,120,14,44,54,1.0,10.0,-0.93,5.61
107,ALTY.O,Global X Alternative Income ETF,11.62,-2.55,48.01,11.6,11.36,5,120,14,49,54,1.0,10.0,-0.91,19.78
62,ALTL.K,Pacer Lunt Large Cap Alternator ETF,35.8,-3.2,45.9,35.56,34.87,5,60,14,49,54,1.0,10.0,12.59,21.05
100,VGLT.O,Vanguard Long-Term Treasury Index Fund;ETF,58.44,-3.84,39.61,58.08,57.77,5,60,14,49,54,1.0,10.0,0.45,13.77
100,SPTL.K,SPDR Portfolio Long Term Treasury ETF,27.58,-3.87,39.83,27.42,27.26,5,60,14,49,54,1.0,10.0,0.61,14.0
