Cluster,Symbol,Name,Return,Std Dev
0,NVDA.O,엔비디아,61.33,45.31
0,AMD.O,어드밴스드 마이크로 디바이시스(AMD),43.66,55.99
0,ACLS.O,액셀리스 테크놀로지스,40.83,54.18
1,AVGO.O,브로드컴,41.39,35.34
1,MU.O,마이크론 테크놀로지,32.47,46.47
1,AMAT.O,어플라이드 머티어리얼즈,30.12,36.37
1,ASML.O,ASML 홀딩 ADR,34.28,34.7
1,LRCX.O,램 리서치,37.7,38.21
1,KLAC.O,KLA,36.26,35.51
1,NXPI.O,NXP 세미콘덕터,33.8,42.23
1,ON.O,온 세미콘덕터,30.54,44.78
1,MPWR.O,모놀리식 파워 시스템즈,42.3,40.49
1,TER.O,테라다인,28.13,37.76
1,ENTG.O,인테그리스,35.63,39.98
1,LSCC.O,래티스 세미컨덕터,30.81,48.18
2,MRVL.O,마벨 테크놀로지 그룹,19.91,41.81
2,SWKS.O,스카이웍스 솔루션스,23.35,40.65
2,COHR.K,코히런트,23.28,46.1
2,QRVO.O,코보,14.3,42.23
2,GFS.O,글로벌파운드리,10.48,49.6
2,RMBS.O,램버스,18.77,44.89
2,ALGM.O,알레그로 마이크로시스템즈,20.66,47.27
2,AMKR.O,앰코 테크놀로지,26.67,47.97
3,TSM,타이완 반도체 매뉴팩처링 ADR,27.5,29.86
3,QCOM.O,퀄컴,18.24,33.25
3,INTC.O,인텔,5.07,31.57
3,TXN.O,텍사스 인스트루먼트,19.99,26.78
3,ADI.O,애널로그 디바이시스,20.0,28.92
3,MCHP.O,마이크로칩 테크놀러지,19.08,33.58
4,WOLF.K,울프스피드,-32.43,75.53
