Cluster,Symbol,Name,Return,Std Dev
15,381180,TIGER 미국필라델피아반도체나스닥,30.18,28.07
15,381170,TIGER 미국테크TOP10 INDXX,30.52,23.29
15,445290,KODEX K-로봇액티브,25.92,22.58
15,236350,TIGER 인도니프티50레버리지(합성),27.16,32.32
15,225040,TIGER 미국S&P500레버리지(합성 H),24.1,33.64
15,385510,KODEX K-신재생에너지액티브,28.32,29.03
15,287180,ARIRANG 미국나스닥테크,25.33,24.76
15,450910,SOL 코스닥150,28.28,29.42
15,196030,ACE 일본TOPIX레버리지(H),24.54,35.86
15,472350,1Q 차이나H(H),31.86,24.37
15,463250,TIGER 스페이스테크iSelect,28.5,30.43
15,433500,ACE 원자력테마딥서치,25.83,25.63
15,471780,TIGER 코리아테크액티브,30.41,21.0
15,461450,KODEX 코스닥글로벌,29.36,30.09
15,449690,TIGER 한중반도체(합성),26.93,20.43
15,459560,KODEX 테슬라밸류체인FactSet,27.99,22.02
15,450190,KODEX 한중반도체(합성),28.36,20.71
15,426410,ARIRANG 미국대체투자Top10MV,31.73,23.21
15,450120,KOSEF SK그룹대표주,30.63,21.65
15,419170,HANARO 미국메타버스iSelect,24.49,26.42
16,360750,TIGER 미국S&P500,20.73,14.7
16,133690,TIGER 미국나스닥100,22.43,18.24
16,379800,KODEX 미국S&P500TR,19.58,14.41
16,360200,ACE 미국S&P500,20.92,14.64
16,379810,KODEX 미국나스닥100TR,22.71,19.71
16,367380,ACE 미국나스닥100,26.31,19.89
16,368590,KBSTAR 미국나스닥100,24.71,19.89
16,379780,KBSTAR 미국S&P500,19.21,14.58
16,449180,KODEX 미국S&P500(H),21.29,15.05
16,448290,TIGER 미국S&P500TR(H),21.14,13.31
16,451060,1Q K200액티브,17.67,15.93
16,476850,KoAct 배당성장액티브,23.99,16.24
16,309230,ACE 미국WideMoat가치주,19.64,17.26
16,475720,KBSTAR 200위클리커버드콜,23.45,11.55
16,298770,KODEX 한국대만IT프리미어,19.8,16.99
16,399110,SOL 미국S&P500ESG,18.25,15.51
16,354350,HANARO 글로벌럭셔리S&P(합성),19.18,19.1
16,463640,KODEX 미국S&P500유틸리티,19.58,19.61
16,387270,TIGER 글로벌BBIG액티브,18.04,18.84
16,276650,KBSTAR 글로벌4차산업IT(합성 H),21.05,22.58
16,465670,TIGER 미국캐시카우100,25.41,13.72
16,429760,ARIRANG 미국S&P500,22.01,14.52
16,442260,마이티 다이나믹퀀트액티브,24.88,15.89
16,453640,KODEX 미국S&P500헬스케어,19.57,14.18
16,444490,WOORI 미국S&P500,25.66,15.54
16,448570,FOCUS AI코리아액티브,20.97,18.21
16,445690,BNK 주주가치액티브,24.65,14.63
16,472840,ITF 200,26.96,17.64
16,474920,에셋플러스 차이나일등기업포커스10액티브,24.66,16.27
16,449580,KBSTAR 미국빅데이터Top3채권혼합iSelect,22.69,12.06
16,471460,히어로즈 국고채30년액티브,26.17,10.63
16,404120,TIMEFOLIO 탄소중립액티브,20.58,21.86
16,445910,TIGER MKF배당귀족,23.64,14.26
16,432840,HANARO 미국S&P500,22.19,15.98
16,428560,KODEX 미국ETF산업Top10 Indxx,20.71,17.63
16,411720,KBSTAR 글로벌메타버스Moorgate,19.79,22.09
16,433220,에셋플러스 글로벌대장장이액티브,27.68,18.76
16,448100,WOORI 200,20.73,16.05
16,429990,SOL 한국형글로벌플랫폼&메타버스액티브,22.02,20.81
16,440910,WOORI 미국우주항공방산,18.59,18.99
