Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
116,MINDP.O,미챔 인더스트리스 우선주 시리즈 A 9%,5,120,14,34,54,1.0,10.0,204.71,54.34,10.35,58.41
116,ABNB.O,에어비앤비,5,120,14,34,54,1.0,10.0,204.71,71.05,12.23,49.96
116,LQDT.O,리퀴디티 서비스,5,120,14,34,54,1.0,10.0,204.71,-3.6,11.51,55.05
116,SIBN.O,시-본,5,120,14,34,54,1.0,10.0,204.71,0.0,12.04,54.78
116,CMPO.O,콤포시큐어,5,120,14,34,54,1.0,10.0,204.71,0.0,6.65,51.06
116,SCWX.O,시큐어웍스,5,120,14,34,54,1.0,10.0,204.71,0.0,8.09,56.37
116,SSYS.O,스트라타시스,5,120,14,34,54,1.0,10.0,204.71,0.77,9.33,56.63
116,DDI.O,더블다운 인터랙티브 ADR,5,120,14,34,54,1.0,10.0,204.71,21.28,4.46,59.54
116,RBBN.O,리본 커뮤니케이션,5,120,14,34,54,1.0,10.0,204.71,0.0,4.96,54.81
116,RSVR.O,레저보아르 미디어,5,120,14,34,54,1.0,10.0,204.71,0.0,10.97,49.07
116,ACTG.O,아카시아 리서치,5,120,14,34,54,1.0,10.0,204.71,-16.85,4.67,48.63
116,TBPH.O,테라반스 바이오파마,5,120,14,34,54,1.0,10.0,204.71,0.0,5.7,51.15
116,SOHU.O,소후 닷컴 ADR,5,120,14,34,54,1.0,10.0,204.71,9.3,5.84,51.01
116,SHYF.O,시프트그룹,5,120,14,34,54,1.0,10.0,204.71,0.0,9.38,51.11
116,ASLE.O,에어세일,5,120,14,34,54,1.0,10.0,204.71,0.0,4.24,55.85
116,IRBT.O,아이로봇,5,120,14,34,54,1.0,10.0,204.71,12012.4,12.18,53.7
116,APEI.O,아메리칸 퍼블릭 에듀케이션,5,120,14,34,54,1.0,10.0,204.71,59.39,10.36,54.22
116,ATEX.O,안테릭스,5,120,14,34,54,1.0,10.0,204.71,0.0,12.97,50.08
116,NYAX.O,나약스,5,120,14,34,54,1.0,10.0,204.71,0.0,6.38,55.99
116,SSRM.O,SSR 마이닝,5,120,14,34,54,1.0,10.0,204.71,224.97,7.63,54.09
116,AMRX.O,엠닐 파마슈티컬,5,120,14,34,54,1.0,10.0,204.71,-16.38,11.85,59.6
116,AAL.O,아메리칸 에어라인스 그룹,5,120,14,34,54,1.0,10.0,204.71,-6.28,4.41,49.77
116,ALKT.O,알카미 테크놀로지,5,120,14,34,54,1.0,10.0,204.71,43.83,4.55,49.03
116,BHF.O,브라이트하우스 파이낸셜,5,120,14,34,54,1.0,10.0,204.71,-3.64,6.82,48.13
116,MOR.O,모르포시스 AG ADR,5,120,14,34,54,1.0,10.0,204.71,47.72,11.52,58.8
116,CARG.O,카구루스,5,120,14,34,54,1.0,10.0,204.71,0.0,13.42,52.78
116,TRIP.O,트립어드바이저,5,120,14,34,54,1.0,10.0,204.71,148.11,10.14,49.19
116,AVPT.O,애비포인트,5,120,14,34,54,1.0,10.0,204.71,49.24,8.77,48.0
116,PLYA.O,플레이야 호텔 & 리조트,5,120,14,34,54,1.0,10.0,204.71,-6.82,9.27,48.31
116,WB.O,웨이보 ADR,5,120,14,34,54,1.0,10.0,204.71,-30.17,6.25,53.88
116,SONO.O,소노스,5,120,14,34,54,1.0,10.0,204.71,0.0,9.93,56.27
116,AFYA.O,아피야,5,120,14,34,54,1.0,10.0,204.71,44.07,8.18,51.69
116,IMTX.O,이매틱스,5,120,14,34,54,1.0,10.0,204.71,0.0,10.44,55.19
116,DCBO.O,도세보,5,120,14,34,54,1.0,10.0,204.71,36.85,7.63,53.89
116,EYE.O,내셔널 비전 홀딩스,5,120,14,34,54,1.0,10.0,204.71,0.0,4.69,52.41
116,PANL.O,팡게아 로지스틱스 솔루션스,5,120,14,34,54,1.0,10.0,204.71,6.38,13.15,55.34
116,MTLS.O,머티리얼라이즈 ADR,5,120,14,34,54,1.0,10.0,204.71,0.4,9.87,57.55
116,SSP.O,E W 스크립스,5,120,14,34,54,1.0,10.0,204.71,0.0,10.16,51.95
116,HSON.O,허드슨 글로벌,5,120,14,34,54,1.0,10.0,204.71,88.92,8.9,53.75
116,HGBL.O,헤리티지글로벌,5,120,14,34,54,1.0,10.0,204.71,210.76,5.78,57.18
116,EGRX.O,이글 파마슈티컬스,5,120,14,34,54,1.0,10.0,204.71,31.84,10.42,59.29
116,MCHX.O,마첵스,5,120,14,34,54,1.0,10.0,204.71,0.0,9.72,54.72
116,DGICB.O,도니골 그룹 Class B,5,120,14,34,54,1.0,10.0,204.71,0.0,10.4,49.83
116,WFCF.O,웨어 푸드 컴스 프롬,5,120,14,34,54,1.0,10.0,204.71,0.0,6.03,50.93
116,FARM.O,파머 브로스,5,120,14,34,54,1.0,10.0,204.71,-16.99,3.05,55.69
116,DXR.O,닥소,5,120,14,34,54,1.0,10.0,204.71,0.0,4.82,48.39
116,RRGB.O,레드 로빈 고메 버거스,5,120,14,34,54,1.0,10.0,204.71,-22.82,8.78,58.61
116,TACT.O,트랜스액트 테크놀로지스,5,120,14,34,54,1.0,10.0,204.71,215.56,7.81,48.47
116,CCLDP.O,케어 클라우드 우선주 시리즈 A 11%,5,120,14,34,54,1.0,10.0,204.71,88.51,3.55,50.48
116,WVVIP.O,윌래메트 밸리 바인야드 우선주 시리즈 A,5,120,14,34,54,1.0,10.0,204.71,0.0,11.08,50.02
116,NTWK.O,넷솔 테크놀로지스,5,120,14,34,54,1.0,10.0,204.71,76.63,11.32,59.15
116,SOHO.O,소덜리 호텔,5,120,14,34,54,1.0,10.0,204.71,-12.64,10.37,52.82
116,DAIO.O,데이터 I/O,5,120,14,34,54,1.0,10.0,204.71,62.38,9.86,52.63
116,BRID.O,브리지포드 푸즈,5,120,14,34,54,1.0,10.0,204.71,62.33,12.63,53.2
116,LFVN.O,라이프밴티지,5,120,14,34,54,1.0,10.0,204.71,36.88,7.46,57.5
116,JMSB.O,존 마샬 뱅코프,5,120,14,34,54,1.0,10.0,204.71,0.0,7.25,49.34
116,MHLD.O,메이든 홀딩스,5,120,14,34,54,1.0,10.0,204.71,-23.25,10.14,58.68
116,RMNI.O,리미니 스트리트,5,120,14,34,54,1.0,10.0,204.71,6.41,2.52,54.43
116,QRTEA.O,큐레이트 리테일 시리즈 A,5,120,14,34,54,1.0,10.0,204.71,-29.56,3.01,54.0
116,FSTR.O,L B 포스터,5,120,14,34,54,1.0,10.0,204.71,40.77,12.23,49.42
116,CRNT.O,세라콘 네트웍스,5,120,14,34,54,1.0,10.0,204.71,-14.25,9.48,57.47
